selection_group,n,dnn_syn4,dnn_parent_any,dnn_parent_aligned,conf_match,any_gt005,aligned_gt005,any_gt010,aligned_gt010
aligned,8,0.10020854324102402,0.22931936383247375,0.2126757651567459,0.75,1.0,1.0,1.0,0.875
blind,8,0.06324172019958496,0.11051169410347939,0.10725386813282967,0.875,1.0,1.0,0.75,0.75
cross_conf,8,0.096200380474329,0.1438191421329975,0.11515956744551659,0.375,1.0,1.0,1.0,0.75
