indices,child_search_syn,child_audit_syn,child_search_conf,child_audit_conf,child_conf_stable,any_parent_score_search,aligned_parent_score_search_caudit,aligned_parent_score_search_csearch,any_parent_score_audit,aligned_parent_score_audit,any_rank_search,aligned_rank_search_caudit,aligned_rank_search_csearch,any_rank_audit,aligned_rank_audit,best_parent_conf_search,best_parent_conf_audit,best_parent_conf_matches_child_audit,best_parent_conf_matches_child_search,best_parent_pos_search,best_parent_pos_audit
"0,1,2,7,11",0.06013684347271919,0.038958463817834854,11,11,True,0.04924239590764046,0.041873443871736526,0.041873443871736526,0.0555642694234848,0.047301340848207474,7250,4981,4981,5435,3254,3,3,False,False,3,3
"0,1,2,7,12",0.07303042709827423,0.07852113991975784,4,4,True,0.10622727870941162,0.10622727870941162,0.10622727870941162,0.11228721588850021,0.11228721588850021,95,25,25,159,86,4,4,True,True,4,4
"0,1,2,7,19",0.0630890429019928,0.06199725717306137,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,2,2
"0,1,2,7,20",0.05438000708818436,0.05313602462410927,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,2,2
"0,1,2,11,17",0.05661608278751373,0.0391036681830883,11,9,False,0.053254783153533936,0.03063325025141239,0.041873443871736526,0.060644034296274185,0.030860289931297302,5324,1508,4981,3873,1437,3,3,False,False,3,3
"0,1,2,12,17",0.07200364023447037,0.0779002457857132,4,4,True,0.10299304127693176,0.10299304127693176,0.10299304127693176,0.10769200325012207,0.10769200325012207,141,37,37,197,98,4,4,True,True,4,4
"0,1,2,17,19",0.06372099369764328,0.06438565999269485,0,0,True,0.09545056521892548,0.09545056521892548,0.09545056521892548,0.10047104954719543,0.10047104954719543,266,73,73,310,58,0,0,True,True,2,2
"0,1,2,17,20",0.054484203457832336,0.05621721222996712,0,0,True,0.08462673425674438,0.08462673425674438,0.08462673425674438,0.08706922084093094,0.08706922084093094,553,146,146,690,127,0,0,True,True,2,2
"0,1,2,20,40",0.026310916990041733,0.055039096623659134,1,6,False,0.0683891698718071,0.019667552784085274,0.02691836655139923,0.06174129992723465,0.0533224493265152,1721,1549,718,3621,214,0,7,False,False,2,1
"0,1,2,25,40",0.018108809366822243,0.05404770374298096,11,7,False,0.03216460347175598,0.002548219868913293,0.03216460347175598,0.06174129992723465,0.06174129992723465,28321,53037,11081,3621,258,11,7,False,True,0,1
"0,1,3,4,19",0.06440893560647964,0.06491492688655853,0,0,True,0.07622077316045761,0.07622077316045761,0.07622077316045761,0.06433713436126709,0.06433713436126709,974,249,249,3048,516,0,0,True,True,2,2
"0,1,3,4,20",0.05556384101510048,0.06604790687561035,0,0,True,0.061807043850421906,0.061807043850421906,0.061807043850421906,0.06520745158195496,0.06520745158195496,2838,718,718,2892,483,0,0,True,True,2,2
"0,1,3,7,14",0.06529911607503891,0.04964384809136391,11,11,True,0.09518261253833771,0.09518261253833771,0.09518261253833771,0.10525000840425491,0.10525000840425491,271,80,80,230,24,11,11,True,True,2,2
"0,1,3,7,19",0.07869148999452591,0.08057838678359985,0,0,True,0.10545790940523148,0.10545790940523148,0.10545790940523148,0.11550533026456833,0.11550533026456833,105,35,35,136,24,0,0,True,True,2,2
"0,1,3,7,20",0.06650839745998383,0.06401219964027405,0,0,True,0.08890501409769058,0.08890501409769058,0.08890501409769058,0.09587953239679337,0.09587953239679337,407,102,102,411,70,0,0,True,True,2,2
"0,1,3,11,14",0.06297945976257324,0.06313621252775192,0,0,True,0.1001286432147026,0.1001286432147026,0.1001286432147026,0.08253160864114761,0.06907454133033752,181,52,52,920,385,0,11,True,True,2,3
"0,1,3,14,17",0.0644943043589592,0.052424944937229156,11,11,True,0.09259209781885147,0.09259209781885147,0.09259209781885147,0.09822048991918564,0.09822048991918564,321,98,98,363,66,11,11,True,True,2,2
