indices,child_search_syn,child_audit_syn,child_search_conf,child_audit_conf,child_conf_stable,any_parent_score_search,aligned_parent_score_search_caudit,aligned_parent_score_search_csearch,any_parent_score_audit,aligned_parent_score_audit,any_rank_search,aligned_rank_search_caudit,aligned_rank_search_csearch,any_rank_audit,aligned_rank_audit,best_parent_conf_search,best_parent_conf_audit,best_parent_conf_matches_child_audit,best_parent_conf_matches_child_search,best_parent_pos_search,best_parent_pos_audit,selection_group
"6,11,16,17",0.1558760851621627,0.1658225655555725,4,4,True,0.1089686080813407,0.1089686080813407,0.1089686080813407,0.1090995818376541,0.1090995818376541,254,65,65,344,63,4,4,True,True,2,0,aligned
"9,18,20,38",0.1279180943965912,0.0830387622117996,0,0,True,0.2314901500940323,0.2314901500940323,0.2314901500940323,0.2445437908172607,0.2445437908172607,14,11,11,11,10,0,0,True,True,0,0,aligned
"7,10,14,17",0.1167833358049392,0.1034596711397171,11,11,True,0.2150773406028747,0.2150773406028747,0.2150773406028747,0.2229159921407699,0.2229159921407699,16,4,4,14,3,11,11,True,True,2,2,aligned
"11,13,31,40",0.1075330004096031,0.1068225726485252,4,4,True,0.1048293486237526,0.1048293486237526,0.1048293486237526,0.1377665251493454,0.1180516853928566,320,77,77,113,48,4,2,True,True,0,3,aligned
"7,14,15,17",0.1056457236409187,0.0747749060392379,11,0,False,0.2150773406028747,0.1079829335212707,0.2150773406028747,0.2229159921407699,0.09439667314291,16,51,4,14,88,11,11,False,True,1,1,aligned
"9,14,18,32",0.1043261215090751,0.1046555414795875,11,11,True,0.294986754655838,0.294986754655838,0.294986754655838,0.2726181149482727,0.2726181149482727,8,1,1,9,1,11,11,True,True,0,0,aligned
"9,14,18,19",0.1029512882232666,0.0849850252270698,11,11,True,0.294986754655838,0.294986754655838,0.294986754655838,0.3304957151412964,0.2726181149482727,8,1,1,7,1,11,0,True,True,0,2,aligned
"1,3,7,13",0.1003978103399276,0.0683218911290168,4,4,True,0.1328994184732437,0.1328994184732437,0.1328994184732437,0.1020109578967094,0.0959944799542427,107,27,27,469,91,4,1,True,True,3,3,aligned
"7,9,17,18",0.1441264897584915,0.1507430076599121,3,3,True,0.1399567872285843,0.0274710971862077,0.0274710971862077,0.1120472401380539,0.0215955507010221,86,2219,2219,297,2718,1,4,False,False,1,0,cross_conf
"1,7,9,14",0.1349265128374099,0.1076022610068321,11,11,True,0.1010241657495498,0.0799947381019592,0.0799947381019592,0.0798690170049667,0.0754728615283966,388,388,388,1039,458,0,4,False,False,1,1,cross_conf
"7,11,17,43",0.1182344183325767,0.0960497185587883,4,4,True,0.1237160414457321,0.0780210345983505,0.0780210345983505,0.1452901512384414,0.0903137922286987,140,200,200,81,108,2,2,False,False,2,1,cross_conf
"1,4,7,14",0.1090925484895706,0.1614058762788772,4,4,True,0.1010241657495498,0.0939141884446144,0.0939141884446144,0.0798690170049667,0.0798690170049667,388,111,111,1039,152,0,4,False,False,2,2,cross_conf
"1,2,7,12",0.1062272787094116,0.1122872158885002,4,4,True,0.1615334153175354,0.1162688732147216,0.1162688732147216,0.1261652410030365,0.1094207242131233,41,49,49,163,62,1,1,False,False,3,3,cross_conf
"7,12,13,42",0.102674052119255,0.1038419529795646,2,2,True,0.0869012400507927,0.0825212150812149,0.0825212150812149,0.1114425212144851,0.1114425212144851,682,155,155,306,44,3,2,False,False,0,1,cross_conf
"4,7,17,38",0.1013624742627143,0.1044728755950927,2,2,True,0.1783080548048019,0.1300538182258606,0.1300538182258606,0.19516022503376,0.1201175674796104,29,9,9,22,28,5,11,False,False,3,0,cross_conf
"0,1,11,14",0.1001286432147026,0.0690745413303375,0,0,True,0.201300099492073,0.0890275612473487,0.0890275612473487,0.1766739934682846,0.0908590108156204,21,120,120,28,102,11,11,False,False,3,3,cross_conf
"7,20,30,38",0.1545516401529312,0.0479141473770141,5,4,False,0.0685627460479736,0.0553912483155727,0.0367923751473426,0.0871703475713729,0.0738739594817161,1418,516,140,758,196,10,10,False,False,3,3,blind
"7,19,30,38",0.1354874074459076,0.0441366620361804,5,4,False,0.0744808241724968,0.055319420993328,0.0416933186352252,0.0883796140551567,0.0723428204655647,1135,520,87,725,210,0,10,False,False,3,3,blind
"4,24,30,38",0.1040833741426467,0.0301225706934928,5,2,False,0.0772657170891761,0.0628443583846092,0.0772657170891761,0.0594246536493301,0.0590690337121486,1019,386,10,2316,595,5,4,False,True,2,2,blind
"7,11,15,31",0.1024428904056549,0.0961382240056991,4,4,True,0.0738501623272895,0.0738501623272895,0.0738501623272895,0.0815330669283866,0.0815330669283866,1178,262,262,990,143,4,4,True,True,3,1,blind
"5,7,11,31",0.1006056517362594,0.0995836481451988,4,4,True,0.0623698011040687,0.0623698011040687,0.0623698011040687,0.0815330669283866,0.0815330669283866,1824,404,404,990,143,4,4,True,True,2,3,blind
"5,7,11,32",0.1006019189953804,0.099580243229866,4,4,True,0.0623668394982814,0.0623668394982814,0.0623668394982814,0.0815272256731987,0.0815272256731987,1827,405,405,991,144,4,4,True,True,2,3,blind
"11,15,17,31",0.1003311872482299,0.1024537086486816,4,4,True,0.0738501623272895,0.0738501623272895,0.0738501623272895,0.0766227692365646,0.0766227692365646,1178,262,262,1175,168,4,4,True,True,1,2,blind
"11,15,17,32",0.1003298610448837,0.1024471446871757,4,4,True,0.0738478899002075,0.0738478899002075,0.0738478899002075,0.0766171962022781,0.0766171962022781,1179,263,263,1176,169,4,4,True,True,1,2,blind
