confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9920742,0.9962878493933236,-0.004213631
total_gen,0.99124795,0.99832719588513,-0.0070792437
total_lmp_da,0.9860807,0.99047564583207,-0.0043949485
da_as_total_mw_primary_reserve,0.95038474,0.953601669814596,-0.0032169223
da_as_total_mw_synchronized_reserve,0.91465306,0.920000100798808,-0.0053470135
total_losses,0.87754536,0.9334742413917716,-0.055928886
net_actual_interchange_mw,0.87026405,0.9295984627394396,-0.059334397
da_as_total_mw_thirty_minutes_reserve,0.8699543,0.9141437178213236,-0.044189453
marginal_loss_price_da,0.82659835,0.8816090434068973,-0.055010676
gross_actual_interchange_mw,0.8045291,0.8759973140166133,-0.071468234
congestion_price_rt,0.70211804,0.6702083206524372,0.031909704
congestion_price_da,0.68703043,0.6602494811248918,0.026780963
