target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.20149958,0.19939496,0.19822635,0.20005505,0.20082407
gross_actual_interchange_mw,0.20182091,0.20027955,0.19789574,0.19906601,0.20093778
total_gen,0.079756215,0.08736474,0.13736312,0.61128664,0.08422928
metered_load_mw,0.076242626,0.071367376,0.121359065,0.6605087,0.07052234
total_losses,0.26773655,0.14379786,0.10219585,0.3309345,0.15533519
congestion_price_da,0.15035303,0.19477226,0.21962257,0.28793207,0.14732003
congestion_price_rt,0.041126043,0.05801495,0.06570524,0.74065614,0.09449761
marginal_loss_price_da,0.17916875,0.17173545,0.16377236,0.09999006,0.38533348
total_lmp_da,0.34483728,0.041533805,0.07628136,0.4840356,0.05331195
da_as_total_mw_primary_reserve,0.70346785,0.069158114,0.0687908,0.082220644,0.07636268
da_as_total_mw_synchronized_reserve,0.08827033,0.08311936,0.09242257,0.6488587,0.08732897
da_as_total_mw_thirty_minutes_reserve,0.19785897,0.29803577,0.21124868,0.11353323,0.17932336
