feature,gate,pearson,spearman,kendall,nmi,distance_corr
gen_fuel_coal_mw,0.71370673,0.7219838,0.70362306,0.5201035,0.16216476,0.7034448
forecast_load_mw_latest_available,0.70642525,0.65256846,0.7031736,0.5160801,0.15498874,0.6632055
forecast_load_mw_day_ahead,0.69727457,0.6136468,0.6757824,0.47607464,0.14115405,0.6335077
gen_fuel_coal_pct,0.6936332,0.65259355,0.61124736,0.46536773,0.12128393,0.64393795
gen_fuel_nuclear_mw,0.6776678,0.55167586,0.5656347,0.40308854,0.18460172,0.54942006
marginal_loss_price_rt,0.67047656,0.40997285,0.56349033,0.4062321,0.27003336,0.50124204
gen_fuel_nuclear_pct,0.6581411,0.4957915,0.5242155,0.36729848,0.08580949,0.47887588
gen_fuel_gas_mw,0.6541513,0.47212255,0.52464175,0.34921086,0.089307316,0.4549089
total_lmp_rt,0.6497933,0.23883356,0.4399219,0.31469515,0.50126815,0.38583833
system_energy_price_da,0.6471754,0.4400473,0.4664247,0.32119614,0.14316203,0.43114257
gross_inadv_interchange_mw,0.646156,0.50057673,0.43339673,0.3208234,0.050944574,0.47681803
gen_fuel_other_renewables_pct,0.63475513,0.42169195,0.4195262,0.32321894,0.08344954,0.38032418
gen_fuel_other_renewables_mw,0.6005737,0.2564937,0.30248863,0.19873875,0.054598458,0.3225487
gen_fuel_oil_mw,0.59940755,0.33546728,0.20854613,0.1357484,0.14380205,0.32154372
da_as_as_req_mw_primary_reserve,0.5981619,0.24107933,0.29826555,0.23086528,0.14874104,0.21159624
da_as_as_req_mw_synchronized_reserve,0.59805876,0.2494298,0.327748,0.19951157,0.16240016,0.18253678
da_as_as_req_mw_thirty_minutes_reserve,0.59059185,0.2298408,0.26125935,0.19360556,0.1434358,0.19814007
total_pjm_rmccp_cr,0.59048843,0.059258386,0.19465294,0.14749278,0.4335137,0.21836518
gen_fuel_wind_mw,0.5890017,0.27009445,0.25552544,0.1625885,0.02407998,0.2678994
rmccp,0.588398,0.07884341,0.18629627,0.13590792,0.39760554,0.22183746
da_as_nsr_mw_primary_reserve,0.58355314,0.22771426,0.24069206,0.14875641,0.07303934,0.22299528
total_pjm_reg_purchases,0.58313394,0.20836866,0.25926948,0.1626903,0.030083321,0.23711522
gen_fuel_oil_pct,0.57700825,0.2974396,0.1342569,0.08138492,0.084973976,0.24105433
gen_fuel_hydro_mw,0.571845,0.17531861,0.21485627,0.12367555,0.04639742,0.18913579
gross_sched_interchange_mw,0.57183397,0.2374981,0.19747414,0.11130389,0.016966792,0.18849449
total_pjm_assigned_reg,0.5663751,0.17572118,0.18431267,0.12975898,0.012892401,0.17701532
gen_fuel_solar_pct,0.5644837,0.21000521,0.13601178,0.07726678,0.051643193,0.18631552
total_pjm_loc_credit,0.5596219,0.13634056,0.12751052,0.10177291,0.038479324,0.19003762
gen_fuel_wind_pct,0.55239886,0.10751012,0.11478898,0.0930671,0.013448831,0.16554716
gen_fuel_solar_mw,0.55175424,0.13943353,0.09304567,0.075540066,0.030505251,0.15434186
gen_fuel_storage_mw,0.54962415,0.0789208,0.14395389,0.106543854,0.019495146,0.10827923
net_inadv_interchange_mw,0.54871637,0.1066224,0.10731616,0.09027117,0.009904794,0.13417086
da_as_mcp_synchronized_reserve,0.54732424,0.10356993,0.058217704,0.059442166,0.11604795,0.1128395
gen_fuel_multiple_fuels_mw,0.5424775,0.067862555,0.07587805,0.057499968,0.035457287,0.12888642
da_as_ss_mw_thirty_minutes_reserve,0.54206043,0.0612596,0.068613745,0.05622565,0.045767322,0.13018104
gen_fuel_gas_pct,0.5417804,0.045499112,0.09162052,0.018426374,0.047901012,0.1402979
gen_fuel_hydro_pct,0.54058653,0.02589527,0.072271824,0.072793745,0.03815567,0.13164805
gen_fuel_multiple_fuels_pct,0.5397671,0.090967774,0.05947782,0.03858115,0.020275177,0.12038594
da_as_mcp_primary_reserve,0.53839374,0.08596513,0.046147283,0.024741426,0.085251555,0.08129125
da_as_ss_mw_synchronized_reserve,0.5379018,0.058354065,0.069794185,0.026278803,0.053483784,0.09613471
total_pjm_self_sched_reg,0.53776616,0.039165884,0.0785956,0.05072354,0.01667321,0.112052456
da_as_ss_mw_primary_reserve,0.53757906,0.03702761,0.04568796,0.06502454,0.039823517,0.11943837
total_pjm_rmpcp_cr,0.52721214,0.06607797,0.0076941336,0.0036263168,0.031359036,0.062216386
rmpcp,0.52559745,0.0385211,0.0053446605,0.004031259,0.025358802,0.07271772
