field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.9254083633422852,-2.17359831935597,False
gross_actual_interchange_mw,0.2460934792895835,-0.5567127466201782,-0.8028062259097617,False
total_gen,0.9906449538219424,0.9382064156234264,-0.05243853819851596,True
metered_load_mw,0.9762308832723112,0.970178036019206,-0.006052847253105176,True
total_losses,0.6540839836602339,0.676826000213623,0.022742016553389144,True
congestion_price_da,0.0475838272605031,0.26781415939331055,0.22023033213280746,True
congestion_price_rt,0.4561738508473963,0.4796130657196045,0.02343921487220818,True
marginal_loss_price_da,0.4407231017762543,0.4831901788711548,0.042467077094900496,True
total_lmp_da,0.9299314144617218,0.8942172676324844,-0.03571414682923735,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9522764608263969,-0.02295135813136462,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.916344940662384,-0.02549817038326274,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.3926020860671997,-0.06430195193730437,True
