数据,方法,每集合ms,目标数
RTS-GMLC,tabpfn,7003.522276878357,3
NEM,tabpfn,2135.3873252868652,3
PJM-load,tabpfn,2020.2635526657104,1
PJM-gen/ic,tabpfn,1198.6210584640503,2
CAISO-load,tabpfn,810.1840257644653,1
