confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9899494,0.9962878493933236,-0.0063384175
total_gen,0.98839664,0.99832719588513,-0.009930551
total_lmp_da,0.98404527,0.99047564583207,-0.0064303875
da_as_total_mw_primary_reserve,0.9513949,0.953601669814596,-0.0022067428
da_as_total_mw_synchronized_reserve,0.91733754,0.920000100798808,-0.0026625395
da_as_total_mw_thirty_minutes_reserve,0.8696443,0.9141437178213236,-0.044499457
total_losses,0.8684434,0.9334742413917716,-0.06503081
net_actual_interchange_mw,0.85333306,0.9295984627394396,-0.076265395
marginal_loss_price_da,0.824664,0.8816090434068973,-0.056945026
gross_actual_interchange_mw,0.7933235,0.8759973140166133,-0.08267379
congestion_price_rt,0.6873406,0.6702083206524372,0.017132282
congestion_price_da,0.64760935,0.6602494811248918,-0.012640119
