k,mask,single,attn,ig,lrp,shapley
1,0.02471046708524227,0.03811753913760185,-0.00882964301854372,0.03811753913760185,0.03811753913760185,0.02471046708524227
2,0.14156632125377655,0.11502355337142944,0.14156632125377655,0.11502355337142944,0.18264488875865936,0.18264488875865936
3,0.19679176807403564,0.2551790475845337,0.29744014143943787,0.22743307054042816,0.2551790475845337,0.29744014143943787
4,0.3432042598724365,0.36849308013916016,0.36849308013916016,0.36849308013916016,0.30845215916633606,0.36849308013916016
5,0.4165947139263153,0.4165947139263153,0.43223991990089417,0.43223991990089417,0.3225330412387848,0.4165947139263153
6,0.4420248568058014,0.45413848757743835,0.41147685050964355,0.4394228458404541,0.4394228458404541,0.4077938497066498
7,0.46611031889915466,0.5210088491439819,0.42087051272392273,0.42087051272392273,0.45387527346611023,0.45073723793029785
8,0.45054423809051514,0.5271565318107605,0.47734352946281433,0.43594953417778015,0.43594953417778015,0.4833308160305023
9,0.5032133460044861,0.5616860389709473,0.4873712956905365,0.4873712956905365,0.4873712956905365,0.5401515960693359
10,0.5404532551765442,0.56667560338974,0.5450816750526428,0.5133938789367676,0.5148220658302307,0.546765923500061
11,0.607721745967865,0.5995133519172668,0.5725076794624329,0.5415304899215698,0.5415304899215698,0.5900778770446777
12,0.636207640171051,0.6157955527305603,0.6020299792289734,0.5505177974700928,0.606116771697998,0.6340060830116272
13,0.6610434651374817,0.6506025791168213,0.6520008444786072,0.5928922295570374,0.6672983765602112,0.6610434651374817
14,0.7019987106323242,0.6592152714729309,0.7016973495483398,0.5928441882133484,0.6944385170936584,0.7019987106323242
15,0.7284155488014221,0.697428286075592,0.7284155488014221,0.624991238117218,0.7284155488014221,0.7089744210243225
16,0.7374939322471619,0.7105847001075745,0.7401208877563477,0.6761296391487122,0.7325261235237122,0.7195609211921692
17,0.7534616589546204,0.7198612093925476,0.7488972544670105,0.7197977900505066,0.7329798340797424,0.7304825782775879
18,0.7615522742271423,0.7250909805297852,0.7577237486839294,0.7276559472084045,0.7416558861732483,0.7423803210258484
19,0.7714809775352478,0.7325121760368347,0.7609482407569885,0.729192316532135,0.7514865398406982,0.748199999332428
20,0.7774868607521057,0.7307329177856445,0.777400553226471,0.7566550374031067,0.7566550374031067,0.7556841969490051
21,0.783339262008667,0.740513801574707,0.7855663895606995,0.7669163346290588,0.7571724057197571,0.764373779296875
22,0.793847382068634,0.7458686828613281,0.7900106310844421,0.7703459858894348,0.7672267556190491,0.7696684002876282
23,0.7976765036582947,0.7496734261512756,0.7952330112457275,0.7790953516960144,0.7730396389961243,0.7785410284996033
24,0.8018021583557129,0.7512295842170715,0.7989698052406311,0.7828759551048279,0.7816879153251648,0.7820145487785339
25,0.8106601238250732,0.7533392310142517,0.8020194172859192,0.7884778380393982,0.7856459021568298,0.7843636870384216
26,0.8141100406646729,0.754767656326294,0.8040837645530701,0.7926855087280273,0.7855350375175476,0.7898489832878113
27,0.8154382109642029,0.7644350528717041,0.805614173412323,0.798835277557373,0.7880266308784485,0.8127467632293701
28,0.8167160153388977,0.7660588622093201,0.8124638199806213,0.8117867112159729,0.7952391505241394,0.8143230080604553
29,0.818307638168335,0.7875364422798157,0.8121693730354309,0.8117610812187195,0.8107526302337646,0.8146257400512695
30,0.8182297348976135,0.7890681624412537,0.8182297348976135,0.8104825019836426,0.8111940026283264,0.8157472014427185
31,0.8192699551582336,0.7874310612678528,0.817225992679596,0.8098556995391846,0.8108108043670654,0.8171049952507019
32,0.8202500343322754,0.7875726222991943,0.8181725144386292,0.8106749653816223,0.8110303282737732,0.8161781430244446
33,0.8214412331581116,0.7882792353630066,0.8181939125061035,0.816339910030365,0.8109831809997559,0.816774308681488
34,0.8217301368713379,0.788294792175293,0.8186087608337402,0.8167533278465271,0.8167533278465271,0.8177309632301331
35,0.8220269680023193,0.7882675528526306,0.8188832402229309,0.8188832402229309,0.8188832402229309,0.8171629905700684
36,0.8217607140541077,0.7881198525428772,0.8198769688606262,0.8198769688606262,0.8197099566459656,0.8172338604927063
37,0.8207142949104309,0.7882514595985413,0.8207142949104309,0.8207142949104309,0.8207142949104309,0.8183596134185791
38,0.8207833766937256,0.787894070148468,0.8207545876502991,0.8200803399085999,0.8200803399085999,0.8184288144111633
39,0.8208468556404114,0.7896153330802917,0.820824146270752,0.8201141953468323,0.8201524615287781,0.8178728222846985
40,0.8208101391792297,0.7887083888053894,0.8207818865776062,0.8201649188995361,0.8201560974121094,0.8178730010986328
41,0.8208503723144531,0.7913649678230286,0.8201414942741394,0.8201813697814941,0.8201813697814941,0.8178649544715881
42,0.8208224177360535,0.7923932075500488,0.8202080130577087,0.8200384974479675,0.8200384974479675,0.8179377913475037
43,0.8206734657287598,0.7924478650093079,0.8201863169670105,0.8200740814208984,0.81999272108078,0.8178253769874573
44,0.8200444579124451,0.8200444579124451,0.8200444579124451,0.8200444579124451,0.8200444579124451,0.8200444579124451
