数据,目标,主干,秩,V误差,偏差
RTS-GMLC,机组出力_223_STEAM_3,random,0,0.18148033020481016,-0.18148033020481016
RTS-GMLC,机组出力_221_CC_1,random,0,0.23770281870103127,-0.23770281870103127
RTS-GMLC,线路潮流_C35,random,0,0.10214189087167598,-0.10214189087167598
RTS-GMLC,机组出力_223_STEAM_3,random,2,0.1649742098232771,-0.1649742098232771
RTS-GMLC,机组出力_221_CC_1,random,2,0.20652693395827626,-0.20652693395827626
RTS-GMLC,线路潮流_C35,random,2,0.08689990977193585,-0.08689489740429827
RTS-GMLC,机组出力_223_STEAM_3,random,4,0.14560139863482147,-0.14560139863482147
RTS-GMLC,机组出力_221_CC_1,random,4,0.1882125631347993,-0.1882125631347993
RTS-GMLC,线路潮流_C35,random,4,0.07603988486187975,-0.07603174558796583
RTS-GMLC,机组出力_223_STEAM_3,random,8,0.11964453693547025,-0.11964453693547025
RTS-GMLC,机组出力_221_CC_1,random,8,0.1592177997524451,-0.1592027505349428
RTS-GMLC,线路潮流_C35,random,8,0.06099994095909366,-0.0609730226712101
RTS-GMLC,机组出力_223_STEAM_3,random,32,0.06321169765523113,-0.06307814629790683
RTS-GMLC,机组出力_221_CC_1,random,32,0.1005383324201292,-0.10036713755903304
RTS-GMLC,线路潮流_C35,random,32,0.03084823109581297,-0.030526623115817032
RTS-GMLC,机组出力_223_STEAM_3,random,全部,0.03221318436603625,-0.03184091408634395
RTS-GMLC,机组出力_221_CC_1,random,全部,0.06459935154277742,-0.06418122163561911
RTS-GMLC,线路潮流_C35,random,全部,0.013414333971381219,-0.012741262850080336
RTS-GMLC,机组出力_223_STEAM_3,uniform,2,0.06878949228076514,-0.06878949228076514
RTS-GMLC,机组出力_221_CC_1,uniform,2,0.09734496371897793,-0.09734496371897793
RTS-GMLC,线路潮流_C35,uniform,2,0.05293887259325514,-0.05292776304795359
RTS-GMLC,机组出力_223_STEAM_3,uniform,8,0.04000423253333915,-0.03995834236486795
RTS-GMLC,机组出力_221_CC_1,uniform,8,0.06411569338642018,-0.0640789645624345
RTS-GMLC,线路潮流_C35,uniform,8,0.03984334082951796,-0.03982023879081575
RTS-GMLC,机组出力_223_STEAM_3,uniform,全部,0.01961733973376193,-0.019501249492817774
RTS-GMLC,机组出力_221_CC_1,uniform,全部,0.025016825262273713,-0.024802220209512848
RTS-GMLC,线路潮流_C35,uniform,全部,0.0164736902297172,-0.016021049105568945
RTS-GMLC,机组出力_223_STEAM_3,recon,2,0.07039783418272708,-0.07039783418272708
RTS-GMLC,机组出力_221_CC_1,recon,2,0.11821914951236284,-0.11821914951236284
RTS-GMLC,线路潮流_C35,recon,2,0.05315871857623409,-0.053149952381964176
RTS-GMLC,机组出力_223_STEAM_3,recon,8,0.04041766218849542,-0.04040959300922048
RTS-GMLC,机组出力_221_CC_1,recon,8,0.068917561400724,-0.068917561400724
RTS-GMLC,线路潮流_C35,recon,8,0.03525146497580691,-0.035234582637580086
RTS-GMLC,机组出力_223_STEAM_3,recon,全部,0.01687010236264724,-0.01623839566518082
RTS-GMLC,机组出力_221_CC_1,recon,全部,0.025039293483337867,-0.024629130470620257
RTS-GMLC,线路潮流_C35,recon,全部,0.009535764173019674,-0.008361187616446879
NEM,机组出力_BW01,random,0,0.09676497753346142,-0.09676497753346142
NEM,机组出力_TUMUT3,random,0,0.052607859798236324,-0.0511702725259488
NEM,机组出力_PPCCGT,random,0,0.12665932702382934,-0.12665932702382934
NEM,机组出力_BW01,random,2,0.0696320805684363,-0.06961163591196551
NEM,机组出力_TUMUT3,random,2,0.04038955067587222,-0.03843753861123864
NEM,机组出力_PPCCGT,random,2,0.07795991836117175,-0.07795446180810643
NEM,机组出力_BW01,random,4,0.062196317385096726,-0.062141087420554596
NEM,机组出力_TUMUT3,random,4,0.03644749130753781,-0.03414479002011982
NEM,机组出力_PPCCGT,random,4,0.06387684058742002,-0.063866901014046
NEM,机组出力_BW01,random,8,0.05390724235365893,-0.053794051338936756
NEM,机组出力_TUMUT3,random,8,0.030814541144651823,-0.027807721637126696
NEM,机组出力_PPCCGT,random,8,0.049550048458645024,-0.049535954793217735
NEM,机组出力_BW01,random,32,0.027153902028254073,-0.026636565923734503
NEM,机组出力_TUMUT3,random,32,0.021230889367096877,-0.015101075972971105
NEM,机组出力_PPCCGT,random,32,0.02553015598490471,-0.025372609498138993
NEM,机组出力_BW01,random,全部,0.015248424509046576,-0.013518023260500223
NEM,机组出力_TUMUT3,random,全部,0.01788955866339564,-0.008583062105337711
NEM,机组出力_PPCCGT,random,全部,0.014009769237680858,-0.013179958929105279
NEM,机组出力_BW01,uniform,2,0.039983056157123185,-0.03989682866896171
NEM,机组出力_TUMUT3,uniform,2,0.02864603669372658,-0.026216822078785455
NEM,机组出力_PPCCGT,uniform,2,0.03806987231555663,-0.038067935548824344
NEM,机组出力_BW01,uniform,8,0.027235962701580303,-0.02711144715006368
NEM,机组出力_TUMUT3,uniform,8,0.022544216690316445,-0.018607780986931843
NEM,机组出力_PPCCGT,uniform,8,0.029586275554028218,-0.029501016968384888
NEM,机组出力_BW01,uniform,全部,0.013856630972705177,-0.012431606052545502
NEM,机组出力_TUMUT3,uniform,全部,0.01819003313302136,-0.010399941902079131
NEM,机组出力_PPCCGT,uniform,全部,0.01607923724105652,-0.015598613833506922
NEM,机组出力_BW01,recon,2,0.037573201270618146,-0.037544524619065614
NEM,机组出力_TUMUT3,recon,2,0.03541540903649907,-0.033281082690324836
NEM,机组出力_PPCCGT,recon,2,0.040678912188549965,-0.04063066796480089
NEM,机组出力_BW01,recon,8,0.02225906714420251,-0.022105203811182896
NEM,机组出力_TUMUT3,recon,8,0.02074097925907153,-0.016417041653526133
NEM,机组出力_PPCCGT,recon,8,0.026196973960583837,-0.02605502378500951
NEM,机组出力_BW01,recon,全部,0.007814322432437787,-0.00493972629923032
