数据,目标,主干,秩,V误差,偏差
NEM,机组出力_TUMUT3,recon,全部,0.01601924826144831,-0.003995063663650725
NEM,机组出力_PPCCGT,recon,全部,0.009440681211639537,-0.008357106896591072
PJM-gen/ic,total_gen,random,0,0.1310089658523267,-0.13100768666341697
PJM-gen/ic,net_actual_interchange_mw,random,0,0.15425817268912298,-0.15425817268912298
PJM-gen/ic,total_gen,random,2,0.11895382898659733,-0.11891389436619335
PJM-gen/ic,net_actual_interchange_mw,random,2,0.14092489091143542,-0.14087965265353777
PJM-gen/ic,total_gen,random,4,0.10855399078427164,-0.10846127869887252
PJM-gen/ic,net_actual_interchange_mw,random,4,0.12975812112846094,-0.12970565335303155
PJM-gen/ic,total_gen,random,8,0.09425262488015129,-0.09410614112143299
PJM-gen/ic,net_actual_interchange_mw,random,8,0.11652891273161856,-0.1163652925145341
PJM-gen/ic,total_gen,random,32,0.07005383967776663,-0.06938814087523905
PJM-gen/ic,net_actual_interchange_mw,random,32,0.08871227304752237,-0.08849854183647278
PJM-gen/ic,total_gen,random,全部,0.05196155425755204,-0.050730532968153906
PJM-gen/ic,net_actual_interchange_mw,random,全部,0.06912820981998423,-0.06833324984338982
PJM-gen/ic,total_gen,uniform,2,0.08106660924249294,-0.08090017585481622
PJM-gen/ic,net_actual_interchange_mw,uniform,2,0.09045072745730319,-0.09040339092469893
PJM-gen/ic,total_gen,uniform,8,0.07547351765417355,-0.07521696941911331
PJM-gen/ic,net_actual_interchange_mw,uniform,8,0.08574730250316634,-0.0856048930353496
PJM-gen/ic,total_gen,uniform,全部,0.061814757075232006,-0.06079977544476618
PJM-gen/ic,net_actual_interchange_mw,uniform,全部,0.07137600716997602,-0.07088788788440543
PJM-gen/ic,total_gen,recon,2,0.08896687395772172,-0.08890346753834998
PJM-gen/ic,net_actual_interchange_mw,recon,2,0.10651951525378518,-0.10650731635984684
PJM-gen/ic,total_gen,recon,8,0.07184371041725948,-0.07154842482603613
PJM-gen/ic,net_actual_interchange_mw,recon,8,0.08470632361417221,-0.08453446512767805
PJM-gen/ic,total_gen,recon,全部,0.04353976259445505,-0.04159485778254478
PJM-gen/ic,net_actual_interchange_mw,recon,全部,0.055646722215200554,-0.05405858782832198
CAISO-load,actual_load__mw__ca_iso_tac,random,0,0.10528965968999225,-0.10528965968999225
CAISO-load,actual_load__mw__ca_iso_tac,random,2,0.09299952980414466,-0.09299952980414466
CAISO-load,actual_load__mw__ca_iso_tac,random,4,0.0843836371443557,-0.0843836371443557
CAISO-load,actual_load__mw__ca_iso_tac,random,8,0.07213996946721428,-0.07213996946721428
CAISO-load,actual_load__mw__ca_iso_tac,random,32,0.04630604327206005,-0.04605293102098527
CAISO-load,actual_load__mw__ca_iso_tac,random,全部,0.03215711089039106,-0.031520649542926424
CAISO-load,actual_load__mw__ca_iso_tac,uniform,2,0.06337829185847892,-0.06337829185847892
CAISO-load,actual_load__mw__ca_iso_tac,uniform,8,0.05708491515111159,-0.0570726751451801
CAISO-load,actual_load__mw__ca_iso_tac,uniform,全部,0.03894727599732272,-0.03855418897791479
CAISO-load,actual_load__mw__ca_iso_tac,recon,2,0.06430917520888084,-0.06429653019753104
CAISO-load,actual_load__mw__ca_iso_tac,recon,8,0.05224345994813735,-0.052221161695997956
CAISO-load,actual_load__mw__ca_iso_tac,recon,全部,0.02901414971662473,-0.02745494051885589
