变体,集合误差,偏差,边际误差,共模相关,共模占比,边际99分位,字段最大高估,M2偏差,M2误差,严重低估
random,0.02623901581391692,-0.024022517865523695,0.01735197538509965,0.5350343819478863,0.5287153542041778,0.06347679933533072,0.08878706376999616,-0.0074499243064879055,0.026965691936622172,64.1
uniform,0.02990271607413888,-0.028315082751214506,0.01871372926980257,0.5550183681840384,0.5456542670726776,0.057193577475845817,0.07420986350625754,-0.019418146902060392,0.02282065728980099,87.4
small,0.030252519343048335,-0.02875554598867893,0.018772777123376726,0.5382626582263199,0.5267203688621521,0.053210985381156206,0.07517542690038681,-0.02004346049631759,0.024039885654001475,88.2
recon,0.022252812050282955,-0.01941928646992892,0.015401864238083363,0.5105309002202215,0.5041683256626129,0.06255749138072134,0.09401598386466503,0.0005286705323789282,0.03025914550477205,57.8
small_recon,0.023794557061046363,-0.021303945453837514,0.0161478909663856,0.5091138197486,0.5030110478401184,0.06106363143771887,0.09293763861060142,-0.00426857844310268,0.026894697921223336,64.8
uniform+random,0.02253456595353782,-0.019678402203135194,0.015614397078752517,0.528945558422454,0.5231097519397736,0.06037712879478931,0.08473728653043508,-0.0006270889856963193,0.027498532941317055,58.9
recon+random,0.020034994930028915,-0.016433204489294438,0.014305977616459131,0.5063370259777201,0.5000253915786743,0.053244339488446715,0.08034451697021723,0.0012819716922375089,0.026381293526254124,44.5
uniformE,0.026388969179242848,-0.024180693505331873,0.017060221079736947,0.5416161695126721,0.5327484905719757,0.056281376630067825,0.07404611781239509,-0.018171233702615763,0.021094639373393845,76.5
reconE,0.020039161946624518,-0.016217481752391905,0.014040984911844134,0.5100687008151491,0.5030904769897461,0.05253597237169742,0.09117582235485315,0.002153914349780129,0.026755105569256123,46.6
random_cy,0.025283222552388906,-0.022939238185063004,0.016478570457547904,0.5535261907197252,0.5433096349239349,0.05574508998543024,0.05406531952321529,-0.019806020471850948,0.02098444881603408,60.5
uniform_cy,0.029140002746134996,-0.027469747234135866,0.018197684502229094,0.5509988909215255,0.5374487817287446,0.05304821217432618,0.05940277501940727,-0.02126659901026316,0.023038285162482873,85.2
recon_cy,0.02167897284962237,-0.018753347219899297,0.014727148972451688,0.5203955669351783,0.5099694490432739,0.04834383595734835,0.06088289711624384,-0.016422389513682717,0.018631324231815318,53.9
recon+random_cy,0.019311581645160912,-0.01552206469932571,0.013577316468581558,0.5148501269426531,0.5056161224842072,0.042630449682474134,0.050037280470132825,-0.013408243172119621,0.016023064493132434,39.1
uniformE_cy,0.025866962736472487,-0.02359711192548275,0.016632312862202524,0.5431038089249831,0.5300286710262299,0.05058773634955287,0.05509518850594759,-0.020295275848081207,0.02135504478722623,74.2
reconE_cy,0.0196315900888294,-0.015739576931810006,0.013548436155542732,0.5157066406174853,0.5045445799827576,0.04445431949570775,0.05474668499082327,-0.014939788943491406,0.01708127044170391,43.4
recon+random@1_cy,0.019618910178542136,-0.01595738839241676,0.01381645305082202,0.5092110064802924,0.49883135557174685,0.04377552354708314,0.0491423362866044,-0.01310017462042573,0.015985794078927494,42.3
recon+random@2_cy,0.01974353208206594,-0.01603503319201991,0.013709928002208471,0.5144021713753992,0.5050951480865479,0.0450323199853301,0.04788356404751539,-0.014612931092728107,0.016893491735862444,42.9
