数据,目标,变体,V误差_3,V误差_4,M2误差,Γ2误差,M2排序,认证前1,认证前3,背景召回前1,背景召回前3,失效单元,有效维度
RTS-GMLC,机组出力_223_STEAM_3,random,0.013343648053705692,0.03493605926632881,0.018687741830945015,0.011156890541315079,0.9841897233201581,0.9820151925086975,0.9936909079551697,0.6521739130434783,0.8695652173913043,0.24619140625,2.7490760013741937
RTS-GMLC,机组出力_221_CC_1,random,0.018914051353931427,0.07727827876806259,0.013305704109370708,0.007877292111515999,0.9950592885375494,0.9957237243652344,0.998338520526886,0.7391304347826086,0.9565217391304348,0.24619140625,2.7490760013741937
RTS-GMLC,线路潮流_C35,random,0.012182747945189476,0.01534945797175169,0.012517926283180714,0.009786377660930157,0.9812252964426879,0.9910215139389038,0.997768759727478,0.4782608695652174,0.8695652173913043,0.24619140625,2.7490760013741937
RTS-GMLC,机组出力_223_STEAM_3,uniform,0.013199599459767342,0.017542148008942604,0.021367138251662254,0.01558175589889288,0.9762845849802372,0.9843161106109619,0.9930588603019714,0.6956521739130435,0.782608695652174,0.09554036458333333,1.7328244099153671
RTS-GMLC,机组出力_221_CC_1,uniform,0.010388397611677647,0.027862360700964928,0.011424948461353779,0.011387612670660019,0.9950592885375494,0.9902230501174927,0.9968879818916321,0.5652173913043478,0.8695652173913043,0.09554036458333333,1.7328244099153671
RTS-GMLC,线路潮流_C35,uniform,0.01640784554183483,0.020268989726901054,0.012649347074329853,0.012614053674042225,0.9752964426877472,0.9765085577964783,0.9933730959892273,0.17391304347826086,0.6956521739130435,0.09554036458333333,1.7328244099153671
RTS-GMLC,机组出力_223_STEAM_3,small,0.008809681050479412,0.01664705201983452,0.01724582351744175,0.014901511371135712,0.9891304347826088,0.9841124415397644,0.9928786754608154,0.6521739130434783,0.8260869565217391,0.14368489583333333,1.8937929572465615
RTS-GMLC,机组出力_221_CC_1,small,0.009455934166908264,0.0264598336070776,0.012434359639883041,0.01176303718239069,0.9930830039525691,0.9915639162063599,0.9976387619972229,0.43478260869565216,0.9130434782608695,0.14368489583333333,1.8937929572465615
RTS-GMLC,线路潮流_C35,small,0.015871835872530937,0.020345650613307953,0.015331214293837547,0.01468485314399004,0.9723320158102767,0.9779603481292725,0.9933240413665771,0.391304347826087,0.6956521739130435,0.14368489583333333,1.8937929572465615
RTS-GMLC,机组出力_223_STEAM_3,recon,0.006431956309825182,0.014667217619717121,0.013666034676134586,0.012458063662052155,0.9871541501976285,0.9886409044265747,0.9927394390106201,0.6086956521739131,0.782608695652174,0.09303385416666667,2.579736686586238
