变体,V误差_3,V误差_4,M2误差,Γ2误差,M2排序,认证前1,认证前3,背景召回前1,背景召回前3,失效单元,有效维度,目标数
random,0.02623901581391692,0.047303250338882205,0.026965690404176713,0.023950899578630926,0.9445954193607256,0.883655172586441,0.967028123140335,0.3879954827780915,0.6484937888198757,0.18806640624999998,3.3026492296301897,10
uniform,0.02990271607413888,0.04313711002469063,0.02282065749168396,0.01749143861234188,0.9525112118279804,0.936290156841278,0.9671740531921387,0.4453830227743271,0.6340142104272539,0.14921875,1.5967418458526408,10
small,0.030252519343048335,0.04503469690680504,0.024039885401725768,0.018634578958153725,0.9550130760293231,0.9297661483287811,0.9688531935214997,0.42692781855825335,0.6694522868435911,0.20319986979166665,1.6483494818527178,10
recon,0.022252812050282955,0.03296323455870152,0.030259146401658655,0.02930410923436284,0.910367156917857,0.8658107429742813,0.9580101609230042,0.4118162996423866,0.6267763034067382,0.10736328125000001,2.7500052283183716,10
small_recon,0.023794557061046363,0.03623446254059672,0.026894697919487953,0.024332029419019817,0.9171302593485041,0.8998490333557129,0.9601358652114869,0.45088226990400904,0.6437027103331452,0.11736002604166666,2.5849842486461125,10
uniform+random,0.02253456595353782,0.03435079604387283,0.02749853259883821,0.026417313423007727,0.923990074666208,0.8796331405639648,0.9623742938041687,0.4238909279126671,0.6593435911914173,,,10
recon+random,0.020034994930028915,0.029993444960564376,0.026381293125450612,0.026358376862481235,0.9322390218306653,0.8882511973381042,0.9568833470344543,0.4305792396009787,0.6610427253905515,,,10
uniformE,0.026388969179242848,0.03785885637626052,0.021094637783244254,0.01688445433974266,0.9566238434418908,0.9342591285705566,0.9695499062538147,0.47307971014492756,0.670829098437794,,,10
reconE,0.020039161946624518,0.02872796347364783,0.02675510519184172,0.02574900151230395,0.9211849891177775,0.880609530210495,0.9744626820087433,0.4478086768304159,0.6913132881611143,,,10
random_cy,0.025283222552388906,0.045136264711618426,0.020984448306262494,0.016784610878676175,0.9625856760251926,0.9579427063465118,0.9758602380752563,0.49536843591191415,0.7012210615471485,0.18806640624999998,3.3026492296301897,10
uniform_cy,0.029140002746134996,0.04219294190406799,0.02303828578442335,0.018423778284341098,0.9553762054998524,0.9560152947902679,0.9743641793727875,0.48380528891398455,0.6717739506869942,0.14921875,1.5967418458526408,10
recon_cy,0.02167897284962237,0.0323180721141398,0.018631324358284473,0.015607425710186362,0.960145134707345,0.9589947283267974,0.9763603746891022,0.49030114812723513,0.698927159796725,0.10736328125000001,2.7500052283183716,10
recon+random_cy,0.019311581645160912,0.0292470064945519,0.016023064451292156,0.014444458577781916,0.9646197039236364,0.9608892738819123,0.9775870561599731,0.5254573687182382,0.7391784302653868,,,10
uniformE_cy,0.025866962736472487,0.037481232173740865,0.02135504400357604,0.01742966240271926,0.9600445232052645,0.9575218915939331,0.9756067574024201,0.5004658385093168,0.6989892715979672,,,10
reconE_cy,0.0196315900888294,0.028483872953802346,0.017081270180642604,0.01500983820296824,0.9625924825728784,0.960791003704071,0.9780791103839874,0.5368238283455675,0.7132829851308112,,,10
recon+random@1_cy,0.019618910178542136,0.029817394632846116,0.015985793434083462,0.014168959902599454,0.9659048800349079,0.9609111964702606,0.9760436654090882,0.5138852813852814,0.7116487859966121,,,10
recon+random@2_cy,0.01974353208206594,0.029514320520684124,0.016893492499366402,0.014648558758199214,0.9643110928209717,0.9591039836406707,0.9761516571044921,0.5023593073593073,0.6860295501599849,,,10
