数据,变体,规模,V误差
RTS-GMLC,random,6,0.054655175656080246
RTS-GMLC,random,10,0.05141334980726242
RTS-GMLC,random,16,0.05586479976773262
RTS-GMLC,uniform,6,0.019454898312687874
RTS-GMLC,uniform,10,0.011890370398759842
RTS-GMLC,uniform,16,0.008332478813827038
RTS-GMLC,recon,6,0.01673562079668045
RTS-GMLC,recon,10,0.012159871868789196
RTS-GMLC,recon,16,0.009947149083018303
RTS-GMLC,small_recon,6,0.01757906936109066
RTS-GMLC,small_recon,10,0.013919400982558727
RTS-GMLC,small_recon,16,0.01207564678043127
NEM,random,6,0.04627690836787224
NEM,random,10,0.08796089142560959
NEM,random,16,0.101455919444561
NEM,uniform,6,0.04519069567322731
NEM,uniform,10,0.06633080542087555
NEM,uniform,16,0.05596759170293808
NEM,recon,6,0.03222709521651268
NEM,recon,10,0.05019434913992882
NEM,recon,16,0.04648428037762642
NEM,small_recon,6,0.03874430060386658
NEM,small_recon,10,0.06887046992778778
NEM,small_recon,16,0.07088038325309753
PJM-load,random,6,0.10264749825000763
PJM-load,random,10,0.11716937273740768
PJM-load,random,16,0.11089122295379639
PJM-load,uniform,6,0.08541658520698547
PJM-load,uniform,10,0.06691602617502213
PJM-load,uniform,16,0.03148821368813515
PJM-load,recon,6,0.067350834608078
PJM-load,recon,10,0.0556987039744854
PJM-load,recon,16,0.024840669706463814
PJM-load,small_recon,6,0.07817341387271881
PJM-load,small_recon,10,0.07648725062608719
PJM-load,small_recon,16,0.053041424602270126
PJM-gen/ic,random,6,0.08002657443284988
PJM-gen/ic,random,10,0.08476810157299042
PJM-gen/ic,random,16,0.08288588374853134
PJM-gen/ic,uniform,6,0.07093270123004913
PJM-gen/ic,uniform,10,0.054421935230493546
PJM-gen/ic,uniform,16,0.029719790443778038
PJM-gen/ic,recon,6,0.056388940662145615
PJM-gen/ic,recon,10,0.04467526450753212
PJM-gen/ic,recon,16,0.026427797973155975
PJM-gen/ic,small_recon,6,0.0660439282655716
PJM-gen/ic,small_recon,10,0.06308865547180176
PJM-gen/ic,small_recon,16,0.0494166761636734
CAISO-load,random,6,0.032398391515016556
CAISO-load,random,10,0.0237372238188982
CAISO-load,random,16,0.017482571303844452
CAISO-load,uniform,6,0.037740327417850494
CAISO-load,uniform,10,0.020677583292126656
CAISO-load,uniform,16,0.010754917748272419
CAISO-load,recon,6,0.023714980110526085
CAISO-load,recon,10,0.011821852065622807
CAISO-load,recon,16,0.005164736416190863
CAISO-load,small_recon,6,0.028348030522465706
CAISO-load,small_recon,10,0.018745800480246544
CAISO-load,small_recon,16,0.012216105125844479
