数据,目标,变体,集合误差,偏差,字段最大高估,边际99分位,M2偏差,M2误差,边际误差,共模相关,共模占比,严重低估,严重高估
RTS-GMLC,机组出力_223_STEAM_3,random,0.013343648053705692,-0.012633336707949638,0.06227942183613777,0.10892504453659058,-0.01792602370614591,0.018687741264053013,0.011086811311542988,0.48802665205991014,0.48516398668289185,0,0
RTS-GMLC,机组出力_221_CC_1,random,0.018914051353931427,-0.018346086144447327,0.04749900475144386,0.029046842828392982,-0.012830454370249872,0.013305710709613302,0.008880243636667728,0.4874125831859165,0.48539119958877563,3,0
RTS-GMLC,线路潮流_C35,random,0.012182747945189476,-0.011169048957526684,0.032551754266023636,0.025551002472639084,-0.009486162792081419,0.012517927133518717,0.009997760877013206,0.29583995947030967,0.2917494773864746,0,0
RTS-GMLC,机组出力_223_STEAM_3,uniform,0.013199599459767342,-0.012584628537297249,0.06071646884083748,0.06622160226106644,-0.02073237947795702,0.021367137846739395,0.009783755987882614,0.4715995302825899,0.47145622968673706,3,0
RTS-GMLC,机组出力_221_CC_1,uniform,0.010388397611677647,-0.009453758597373962,0.10725165158510208,0.028262075036764145,-0.01045765889727551,0.011424947692000347,0.008143668994307518,0.3992011226405319,0.39291155338287354,8,0
RTS-GMLC,线路潮流_C35,uniform,0.01640784554183483,-0.01588629186153412,0.030828388407826424,0.02388814091682434,-0.0075608611754749136,0.012649346628914709,0.011761407367885113,0.391998884777038,0.3635343909263611,1,0
RTS-GMLC,机组出力_223_STEAM_3,small,0.008809681050479412,-0.007986907847225666,0.0751420184969902,0.0318898931145668,-0.015303946707559668,0.01724582068298174,0.007059026975184679,0.4047867084070174,0.40194886922836304,4,0
RTS-GMLC,机组出力_221_CC_1,small,0.009455934166908264,-0.008550306782126427,0.09951510280370712,0.017648128792643547,-0.010465251362842062,0.012434360773667046,0.007153153419494629,0.3471798410421187,0.3362484574317932,7,0
RTS-GMLC,线路潮流_C35,small,0.015871835872530937,-0.015310673974454403,0.041451502591371536,0.02508658915758133,-0.009425678978795591,0.015331215184667835,0.011744978837668896,0.3522587355878021,0.325080931186676,0,0
RTS-GMLC,机组出力_223_STEAM_3,recon,0.006431956309825182,-0.0053622727282345295,0.06894374638795853,0.033081427216529846,-0.012238310730975607,0.013666033744812012,0.006229970138520002,0.3878109827453373,0.3866046667098999,4,0
RTS-GMLC,机组出力_221_CC_1,recon,0.009388873353600502,-0.007668164558708668,0.11347652226686478,0.02548922225832939,-0.004790538678998532,0.008327241177144258,0.00759077537804842,0.39039558179232287,0.3890416622161865,7,0
RTS-GMLC,线路潮流_C35,recon,0.009945839643478394,-0.008821026422083378,0.030092312023043633,0.024437373504042625,-0.008731652213179546,0.010800021498099617,0.008846066892147064,0.3033148640073624,0.2895764112472534,0,0
RTS-GMLC,机组出力_223_STEAM_3,small_recon,0.006862521171569824,-0.005696028005331755,0.0643279030919075,0.03545420244336128,-0.01155431374259617,0.013463854789733887,0.006501915864646435,0.3937901606213809,0.39201098680496216,3,0
RTS-GMLC,机组出力_221_CC_1,small_recon,0.008751077577471733,-0.007215804420411587,0.08083165436983109,0.02108156308531761,-0.005381669039311616,0.009088148889334305,0.007172437384724617,0.36303950679870206,0.3513944745063782,5,0
