confidential_field,model_r2,probe_r2,gap
total_gen,0.98637664,0.99832719588513,-0.011950552
metered_load_mw,0.9853334,0.9962878493933236,-0.01095444
total_lmp_da,0.9596303,0.99047564583207,-0.030845344
da_as_total_mw_primary_reserve,0.9496453,0.953601669814596,-0.0039563775
da_as_total_mw_synchronized_reserve,0.91518867,0.920000100798808,-0.004811406
total_losses,0.8651042,0.9334742413917716,-0.068370044
da_as_total_mw_thirty_minutes_reserve,0.8564137,0.9141437178213236,-0.05773002
net_actual_interchange_mw,0.84192216,0.9295984627394396,-0.08767629
marginal_loss_price_da,0.81711024,0.8816090434068973,-0.06449878
gross_actual_interchange_mw,0.77752686,0.8759973140166133,-0.09847045
congestion_price_da,0.6612478,0.6602494811248918,0.0009983182
congestion_price_rt,0.64526284,0.6702083206524372,-0.024945498
