confidential_field,test_r2
metered_load_mw,0.9903038740158081
total_gen,0.9879463911056519
total_lmp_da,0.9853156805038452
da_as_total_mw_primary_reserve,0.9514509439468384
da_as_total_mw_synchronized_reserve,0.9179410338401794
da_as_total_mw_thirty_minutes_reserve,0.868060827255249
total_losses,0.8661357760429382
net_actual_interchange_mw,0.8538936972618103
gross_actual_interchange_mw,0.7815676927566528
marginal_loss_price_da,0.7775075435638428
congestion_price_da,0.6317675113677979
congestion_price_rt,0.6149449348449707
