rank,field,sensitivity,masked_loss,loss_increase
1,da_as_nsr_mw_primary_reserve,0.3274465167683569,0.4461899995803833,0.11006346344947815
2,system_energy_price_da,0.21732583176804435,0.4091755151748657,0.07304897904396057
3,marginal_loss_price_rt,0.08342280269556285,0.36416715383529663,0.02804061770439148
4,total_lmp_rt,0.07411476756511373,0.361038476228714,0.024911940097808838
5,gen_fuel_nuclear_mw,0.05747776639430564,0.35544633865356445,0.019319802522659302
6,da_as_as_req_mw_primary_reserve,0.04929141949730173,0.35269469022750854,0.016568154096603394
7,da_as_as_req_mw_synchronized_reserve,0.048114316265366025,0.3522990345954895,0.01617249846458435
8,forecast_load_mw_day_ahead,0.046017412722485676,0.3515942096710205,0.015467673540115356
9,da_as_as_req_mw_thirty_minutes_reserve,0.04120455360558796,0.34997648000717163,0.01384994387626648
10,forecast_load_mw_latest_available,0.03730883487970734,0.3486670255661011,0.012540489435195923
11,gen_fuel_oil_mw,0.031581583955717654,0.3467419445514679,0.010615408420562744
12,gen_fuel_wind_mw,0.026658781481814792,0.3450872600078583,0.008960723876953125
13,gen_fuel_coal_mw,0.022671029526441157,0.3437468707561493,0.007620334625244141
14,gen_fuel_oil_pct,0.019158161942131668,0.3425661027431488,0.006439566612243652
15,gen_fuel_coal_pct,0.0160777973380408,0.3415307104587555,0.005404174327850342
16,gen_fuel_other_renewables_pct,0.01334703487642677,0.34061282873153687,0.004486292600631714
17,gen_fuel_gas_mw,0.012379799326774266,0.3402877151966095,0.004161179065704346
18,gen_fuel_hydro_mw,0.0120274486003723,0.3401692807674408,0.0040427446365356445
19,gross_inadv_interchange_mw,0.01075024371516336,0.33973997831344604,0.0036134421825408936
20,gen_fuel_multiple_fuels_mw,0.010098031348929627,0.33952075242996216,0.003394216299057007
21,da_as_mcp_primary_reserve,0.007509663267436773,0.33865073323249817,0.0025241971015930176
22,gen_fuel_gas_pct,0.006907457395840861,0.33844831585884094,0.002321779727935791
23,total_pjm_loc_credit,0.004781206069759947,0.3377336263656616,0.0016070902347564697
24,total_pjm_reg_purchases,0.004614695082295706,0.33767765760421753,0.001551121473312378
25,gen_fuel_nuclear_pct,0.003962216724069216,0.3374583423137665,0.0013318061828613281
26,gen_fuel_hydro_pct,0.003924445861098095,0.3374456465244293,0.00131911039352417
27,da_as_mcp_synchronized_reserve,0.0033100043578354814,0.3372391164302826,0.0011125802993774414
28,total_pjm_rmpcp_cr,0.0016258317237123439,0.3366730213165283,0.0005464851856231689
29,da_as_ss_mw_synchronized_reserve,0.0011247028093630954,0.33650457859039307,0.00037804245948791504
30,da_as_ss_mw_primary_reserve,0.0009404590223818962,0.33644264936447144,0.0003161132335662842
31,da_as_ss_mw_thirty_minutes_reserve,0.00092387885483354,0.33643707633018494,0.00031054019927978516
32,rmpcp,0.0008630553524903722,0.336416631937027,0.00029009580612182617
33,gen_fuel_solar_mw,0.0007718200989756206,0.33638596534729004,0.0002594292163848877
34,gross_sched_interchange_mw,0.0006540743101830158,0.3363463878631592,0.00021985173225402832
35,gen_fuel_other_renewables_mw,0.0005751633523325502,0.33631986379623413,0.0001933276653289795
36,gen_fuel_multiple_fuels_pct,3.64409030073498e-05,0.3361387848854065,1.2248754501342773e-05
37,total_pjm_assigned_reg,-0.00026076081689687536,0.33603888750076294,-8.764863014221191e-05
38,net_inadv_interchange_mw,-0.0002643960407978518,0.33603766560554504,-8.887052536010742e-05
39,gen_fuel_storage_mw,-0.0010733663547615004,0.3357657492160797,-0.00036078691482543945
40,total_pjm_self_sched_reg,-0.0019340277793170834,0.33547645807266235,-0.0006500780582427979
41,gen_fuel_solar_pct,-0.0020852885591967395,0.33542561531066895,-0.0007009208202362061
42,gen_fuel_wind_pct,-0.004497658605483779,0.33461475372314453,-0.0015117824077606201
43,rmccp,-0.018384302571211597,0.3299470841884613,-0.006179451942443848
44,total_pjm_rmccp_cr,-0.021234850093562685,0.3289889395236969,-0.007137596607208252
