feature,gate,pearson,spearman,kendall,nmi,distance_corr,hsic
system_energy_price_da,0.7567407,0.9929799,0.9901285,0.9288402,1.0,0.9882222,0.96587217
total_lmp_rt,0.6732032,0.649229,0.8364714,0.64583355,1.0,0.7482922,0.45974216
marginal_loss_price_rt,0.654515,0.68953305,0.78798133,0.60672164,0.56515956,0.7522991,0.4647831
da_as_mcp_synchronized_reserve,0.6499625,0.7959499,0.5843953,0.46627048,0.87715876,0.7057389,0.39085284
gen_fuel_oil_mw,0.6294501,0.80590606,0.59012425,0.42924982,0.37083507,0.7450472,0.39865184
gen_fuel_oil_pct,0.61643535,0.7574166,0.5839601,0.4358949,0.27119038,0.7030124,0.34786367
gen_fuel_nuclear_pct,0.61106324,0.6122829,0.6997809,0.5165792,0.33188668,0.6432145,0.27946156
forecast_load_mw_latest_available,0.6076228,0.64129424,0.66979706,0.48878324,0.34245658,0.6371383,0.25363606
da_as_mcp_primary_reserve,0.5974908,0.6826138,0.47139332,0.3602384,0.47228527,0.5401296,0.24804172
forecast_load_mw_day_ahead,0.589718,0.60723984,0.58613676,0.4375023,0.2836494,0.5788364,0.19636716
rmccp,0.5888861,0.3326465,0.45157903,0.33232957,1.0,0.4580859,0.16458668
gen_fuel_hydro_mw,0.5847193,0.49063075,0.50143546,0.36278766,0.20987684,0.6016456,0.30016384
total_pjm_rmccp_cr,0.5831319,0.29968476,0.47656092,0.30723956,1.0,0.44262868,0.13709427
gen_fuel_gas_mw,0.57618284,0.5449982,0.52437866,0.38371843,0.23826778,0.56364095,0.17141916
gen_fuel_coal_mw,0.56776893,0.5141348,0.55025566,0.34560296,0.2824482,0.4807266,0.12986611
gen_fuel_other_renewables_pct,0.5656135,0.45903173,0.54051733,0.41183835,0.14835608,0.49259135,0.15541479
gen_fuel_hydro_pct,0.5605204,0.36319986,0.46149454,0.33004633,0.19758745,0.48785868,0.20753771
gen_fuel_multiple_fuels_mw,0.55481046,0.42439386,0.48042378,0.32666293,0.16966961,0.4574075,0.1405082
total_pjm_reg_purchases,0.5491568,0.361812,0.49044186,0.31692523,0.17244983,0.4213052,0.13210095
gen_fuel_storage_mw,0.5462428,0.3346979,0.45650795,0.3383808,0.09934357,0.4098921,0.15191379
gross_inadv_interchange_mw,0.54403424,0.40083423,0.42031828,0.31674728,0.095008835,0.41595313,0.12095271
gen_fuel_coal_pct,0.5324056,0.33484945,0.4166425,0.27703238,0.117127344,0.36217645,0.07710917
gen_fuel_multiple_fuels_pct,0.5312402,0.27754027,0.39313856,0.28286174,0.09661871,0.36807153,0.10585152
total_pjm_assigned_reg,0.5197697,0.26496142,0.35217938,0.23505305,0.07455054,0.32396036,0.06893505
gen_fuel_gas_pct,0.51487976,0.2506242,0.27494088,0.21355554,0.076706156,0.32303396,0.0660151
total_pjm_loc_credit,0.50422794,0.24230538,0.23022406,0.14208159,0.092417166,0.25294116,0.04279529
total_pjm_rmpcp_cr,0.5026076,0.053743303,0.25450405,0.22726703,0.07189629,0.2511621,0.07550866
rmpcp,0.48939648,0.015293277,0.23470168,0.16339912,0.059987295,0.18170168,0.042690575
net_inadv_interchange_mw,0.48819956,0.15703417,0.153378,0.11191417,0.016039215,0.21038763,0.02376555
gen_fuel_wind_pct,0.48669788,0.15646598,0.14630334,0.10674232,0.044233866,0.17008409,0.017251205
gross_sched_interchange_mw,0.4836807,0.15794408,0.06617828,0.05384487,0.053788047,0.2181782,0.022467371
gen_fuel_nuclear_mw,0.47794932,0.11699445,0.06002569,0.033331387,0.105826035,0.13189764,0.010889045
gen_fuel_solar_pct,0.4757639,0.093028925,0.027240325,0.01316331,0.08284929,0.15107943,0.027336644
da_as_as_req_mw_primary_reserve,0.47509068,0.09537961,0.049541775,0.020346418,0.08176005,0.12863328,0.017017486
da_as_as_req_mw_synchronized_reserve,0.473256,0.08711682,0.018870048,0.023821875,0.08659017,0.11917946,0.012745574
da_as_ss_mw_synchronized_reserve,0.4730706,0.028980413,0.08807943,0.02792132,0.095645085,0.1086987,0.015961513
gen_fuel_wind_mw,0.47185335,0.07174176,0.07336607,0.03822984,0.03239715,0.10856566,0.008774056
da_as_nsr_mw_primary_reserve,0.47156757,0.026300369,0.03408844,0.0038224438,0.1342723,0.11701529,0.0143887475
da_as_ss_mw_primary_reserve,0.47030202,0.00036693568,0.052287817,0.04705633,0.08151708,0.09941958,0.013792929
gen_fuel_other_renewables_mw,0.46988985,0.03791859,0.038961492,0.027673695,0.04496485,0.112081364,0.017518956
da_as_as_req_mw_thirty_minutes_reserve,0.4697298,0.06852879,0.0010437937,0.009797723,0.064771585,0.11798411,0.012172811
gen_fuel_solar_mw,0.46953505,0.016170558,0.06356267,0.034032065,0.055450466,0.10020259,0.013404048
da_as_ss_mw_thirty_minutes_reserve,0.46758282,0.004284253,0.038247813,0.013952126,0.08345522,0.08952537,0.012165317
total_pjm_self_sched_reg,0.46651652,0.0011091566,0.027624195,0.0308688,0.027577678,0.09883635,0.0179959
da_as_ircmwt2_thirty_minutes_reserve,0.4568434,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.4568434,0.0,0.0,0.0,0.0,0.0,0.0
gen_fuel_storage_pct,0.4568434,0.0,0.0,0.0,0.0,0.0,0.0
da_as_mcp_thirty_minutes_reserve,0.4568434,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_primary_reserve,0.4568434,0.0,0.0,0.0,0.0,0.0,0.0
