target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,9,2.1844048500061035,0.9941654906547341
gross_actual_interchange_mw,11,2.296869993209839,0.9578691860588915
total_gen,28,3.160184383392334,0.9483764798176132
metered_load_mw,27,3.13100004196167,0.9499863522545953
total_losses,19,2.9018478393554688,0.9855350577436558
congestion_price_da,8,2.076101541519165,0.9983937994438773
congestion_price_rt,11,2.3655786514282227,0.9865229221072552
marginal_loss_price_da,21,3.022169351577759,0.9926579335173569
total_lmp_da,32,3.4021098613739014,0.9816414051127133
da_as_total_mw_primary_reserve,11,2.246556043624878,0.9368866393414763
da_as_total_mw_synchronized_reserve,8,1.9411654472351074,0.9335032547570321
da_as_total_mw_thirty_minutes_reserve,18,2.8671770095825195,0.9919751678135245
