field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.9254083633422852,-2.17359831935597,False
gross_actual_interchange_mw,0.2460934792895835,-0.5567127466201782,-0.8028062259097617,False
total_gen,0.9906449538219424,0.9192054197192192,-0.07143953410272319,True
metered_load_mw,0.9762308832723112,0.9645696841180325,-0.011661199154278767,True
total_losses,0.6540839836602339,0.6230641305446625,-0.031019853115571427,True
congestion_price_da,0.0475838272605031,0.27305978536605835,0.22547595810555526,True
congestion_price_rt,0.4561738508473963,0.48606473207473755,0.029890881227341237,True
marginal_loss_price_da,0.4407231017762543,0.4723237156867981,0.03160061391054381,True
total_lmp_da,0.9299314144617218,0.853018194437027,-0.0769132200246948,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9480342827737331,-0.027193536184028422,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.8795906379818916,-0.06225247306375514,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.27885210514068604,-0.17805193286381804,True
