field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.5932424068450928,-0.3363560558943468
gross_actual_interchange_mw,0.8759973140166133,0.6984636187553406,-0.17753369526127272
total_gen,0.99832719588513,0.9815607070922852,-0.016766488792844814
metered_load_mw,0.9962878493933236,0.9875491261482239,-0.008738723245099722
total_losses,0.9334742413917716,0.689451277256012,-0.24402296413575963
congestion_price_da,0.6602494811248918,0.24078965187072754,-0.41945982925416425
congestion_price_rt,0.6702083206524372,-0.03367924690246582,-0.703887567554903
marginal_loss_price_da,0.8816090434068973,0.5541574954986572,-0.32745154790824005
total_lmp_da,0.99047564583207,0.9472832083702087,-0.0431924374618613
da_as_total_mw_primary_reserve,0.953601669814596,0.9331079125404358,-0.02049375727416025
da_as_total_mw_synchronized_reserve,0.920000100798808,0.8913957476615906,-0.02860435313721743
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.6532721519470215,-0.26087156587430216
