,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw,net_actual_interchange_mw,gross_actual_interchange_mw,total_gen,metered_load_mw,total_losses,congestion_price_da,congestion_price_rt,marginal_loss_price_da,total_lmp_da,da_as_total_mw_primary_reserve,da_as_total_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve
gen_fuel_coal_mw,0.2,0.19790605,0.2,0.2,0.20064288,0.20319578,0.20013273,0.2,0.2,0.2,0.20348914,0.2,0.2,0.2,0.1964397,0.20324469,0.20007864,0.2,0.2,0.19897287,0.19876534,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20384733,0.19869427,0.19988558,0.2,0.19907328,0.19797081,0.2,0.19974972,0.19903104,0.19904266,0.1992407,0.2,0.2,0.19942304,0.19948368,0.2,0.2,0.2
gen_fuel_gas_mw,0.19991383,0.2,0.19976214,0.19985823,0.20005505,0.19998914,0.2,0.2,0.2,0.20063154,0.20005819,0.1995973,0.2,0.2,0.20036346,0.20005643,0.20032652,0.2,0.20066711,0.19946174,0.19942719,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200099,0.2000661,0.2000603,0.2,0.2,0.2,0.2,0.20048973,0.2008034,0.1997803,0.20015754,0.2,0.19901009,0.2,0.2,0.20027421,0.20031501,0.20027208,0.2,0.2,0.2001626,0.20016459,0.2,0.20000762,0.2
gen_fuel_hydro_mw,0.2,0.19898255,0.2,0.2,0.2,0.2001153,0.2,0.2,0.20009598,0.2,0.2,0.2,0.20032145,0.2,0.19995458,0.2003432,0.2,0.2,0.2,0.19960849,0.19967489,0.2,0.20036542,0.19988815,0.19993179,0.2,0.2,0.2,0.2001759,0.19982362,0.20023087,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20163153,0.19804789,0.2,0.2,0.2,0.2,0.2,0.2,0.20023938,0.20028344,0.2,0.2,0.2,0.20021369,0.20024534,0.2,0.2,0.2
gen_fuel_multiple_fuels_mw,0.2,0.20229293,0.2,0.2,0.2,0.19934091,0.2,0.2,0.2,0.19954568,0.2,0.19910404,0.2,0.20117497,0.19691345,0.19889328,0.19981647,0.2,0.19956851,0.20483431,0.20462355,0.2,0.2,0.2,0.2,0.2,0.2,0.19962902,0.19849968,0.2,0.2,0.2,0.2,0.2,0.19996472,0.19997166,0.19997066,0.2,0.19764522,0.20004064,0.20008159,0.2,0.2,0.2,0.2,0.2,0.19956969,0.19958766,0.2,0.2,0.19966453,0.2,0.19954093,0.2,0.2,0.19950524
gen_fuel_nuclear_mw,0.20173144,0.19898331,0.2,0.2,0.2,0.2,0.21516803,0.2,0.2,0.2,0.1995706,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1916548,0.1908453,0.2,0.2,0.2,0.2,0.20151518,0.2,0.2,0.2,0.2,0.2,0.20024683,0.20017524,0.20014532,0.2,0.2,0.2,0.20438506,0.2,0.2,0.2,0.2,0.20481907,0.18998489,0.19922657,0.20002949,0.19879234,0.1986911,0.19941153,0.2,0.2,0.2,0.2,0.19952524,0.2,0.19857608
gen_fuel_oil_mw,0.19879468,0.1993308,0.2011508,0.20172256,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19936055,0.2,0.20053324,0.19941156,0.20002481,0.20048748,0.2,0.200131,0.20060903,0.20052181,0.20018522,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20003612,0.19961096,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19913112,0.19988033,0.19995666,0.2,0.2,0.2,0.2,0.2,0.2002726,0.20032175,0.2,0.2,0.20025215,0.20028108,0.20033626,0.2,0.2,0.20020841
gen_fuel_other_renewables_mw,0.20009781,0.2,0.2,0.2,0.19993961,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19996817,0.2,0.2,0.20000213,0.20000128,0.2,0.2,0.2,0.2,0.19994792,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_solar_mw,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20001198,0.2,0.2,0.2,0.2,0.2,0.2,0.19985844,0.2,0.19888315,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20122851,0.2,0.20020726,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_storage_mw,0.2,0.2,0.19995308,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19998778,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19997106,0.2,0.2,0.2,0.2,0.2000278,0.20008501,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20027973,0.1994886,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1999807,0.2,0.2,0.2
gen_fuel_wind_mw,0.2,0.19997206,0.2,0.20011367,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19995442,0.2,0.2001144,0.2,0.2,0.2,0.2,0.19995557,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
