,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw,net_actual_interchange_mw,gross_actual_interchange_mw,total_gen,metered_load_mw,total_losses,congestion_price_da,congestion_price_rt,marginal_loss_price_da,total_lmp_da,da_as_total_mw_primary_reserve,da_as_total_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve
gen_fuel_coal_mw,0.2,0.1997168,0.2,0.2,0.20031013,0.20124276,0.20006524,0.2,0.2,0.2,0.20024309,0.2,0.2,0.2,0.1994815,0.20104656,0.2000434,0.2,0.2,0.19991708,0.1998806,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20065367,0.2000389,0.19999662,0.2,0.19990906,0.199791,0.2,0.20003346,0.19991125,0.19993322,0.19988972,0.2,0.2,0.19988617,0.19997555,0.2,0.2,0.2
gen_fuel_gas_mw,0.199946,0.2,0.19995034,0.19994682,0.19997945,0.19996728,0.2,0.2,0.2,0.20006265,0.20002034,0.19998744,0.2,0.2,0.20011207,0.19998698,0.20002878,0.2,0.20009503,0.19990538,0.19987959,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19999288,0.1999846,0.19998926,0.2,0.2,0.2,0.2,0.2001752,0.19953017,0.19998363,0.20000573,0.2,0.19978444,0.2,0.2,0.20002002,0.20004033,0.20002508,0.2,0.2,0.20003079,0.20008297,0.2,0.19998062,0.2
gen_fuel_hydro_mw,0.2,0.19966131,0.2,0.2,0.2,0.19995973,0.2,0.2,0.20002708,0.2,0.2,0.2,0.2000187,0.2,0.19995502,0.20000853,0.2,0.2,0.2,0.19984105,0.19982433,0.2,0.20003124,0.1999709,0.19997926,0.2,0.2,0.2,0.20004092,0.19995582,0.20010136,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20023404,0.19980814,0.2,0.2,0.2,0.2,0.2,0.2,0.20008884,0.20008028,0.2,0.2,0.2,0.1999817,0.20004043,0.2,0.2,0.2
gen_fuel_multiple_fuels_mw,0.2,0.20046799,0.2,0.2,0.2,0.19998267,0.2,0.2,0.2,0.20001814,0.2,0.19993779,0.2,0.19989495,0.19964996,0.19996184,0.20005172,0.2,0.19998036,0.20085439,0.20100754,0.2,0.2,0.2,0.2,0.2,0.2,0.19976266,0.19971396,0.2,0.2,0.2,0.2,0.2,0.20004743,0.20004587,0.2000461,0.2,0.19957761,0.20017827,0.20017463,0.2,0.2,0.2,0.2,0.2,0.19993642,0.19992287,0.2,0.2,0.1999463,0.2,0.1999312,0.2,0.2,0.19997112
gen_fuel_nuclear_mw,0.20076331,0.19961953,0.2,0.2,0.2,0.2,0.20562862,0.2,0.2,0.2,0.19981776,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19784956,0.19765857,0.2,0.2,0.2,0.2,0.20040563,0.2,0.2,0.2,0.2,0.2,0.19983885,0.19981702,0.19979851,0.2,0.2,0.2,0.20042191,0.2,0.2,0.2,0.2,0.20064408,0.19778278,0.19970173,0.2000208,0.19967295,0.19970699,0.19994849,0.2,0.2,0.2,0.2,0.19964947,0.2,0.19971427
gen_fuel_oil_mw,0.19952154,0.19979142,0.20030165,0.20016648,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000361,0.2,0.20000023,0.19993204,0.19982128,0.20020014,0.2,0.20001881,0.20026655,0.20011304,0.199773,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000933,0.19977799,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19947939,0.19958861,0.20027496,0.2,0.2,0.2,0.2,0.2,0.20006885,0.20007958,0.2,0.2,0.20002925,0.20013586,0.20010865,0.2,0.2,0.20006002
gen_fuel_other_renewables_mw,0.19998316,0.2,0.2,0.2,0.19997074,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000556,0.2,0.2,0.1999738,0.19996929,0.2,0.2,0.2,0.2,0.20004775,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_solar_mw,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20003192,0.2,0.2,0.2,0.2,0.2,0.2,0.19999577,0.2,0.19985414,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20004565,0.2,0.19996433,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_storage_mw,0.2,0.2,0.20002426,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20003188,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1999904,0.2,0.2,0.2,0.2,0.20000109,0.20000307,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19997194,0.20003712,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20001361,0.2,0.2,0.2
gen_fuel_wind_mw,0.2,0.1999599,0.2,0.20000122,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000456,0.2,0.19999564,0.2,0.2,0.2,0.2,0.1999965,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
