field,baseline_1head,dual_4head,dual_8head,single_DNN32,gap_4h_vs_1h,gap_8h_vs_1h,gap_8h_vs_single
marginal_loss_price_da,0.7200990915298462,0.7130793929100037,0.7393921613693237,0.7623509168624878,-0.007019698619842529,0.01929306983947754,-0.022958755493164062
congestion_price_rt,0.541749894618988,0.5505875945091248,0.5601037740707397,0.5028364658355713,0.008837699890136719,0.01835387945175171,0.05726730823516846
da_as_total_mw_primary_reserve,0.944555401802063,0.9443622827529907,0.9490901827812195,0.9921367764472961,-0.00019311904907226562,0.004534780979156494,-0.04304659366607666
da_as_total_mw_synchronized_reserve,0.9100072979927063,0.9077410101890564,0.9094537496566772,0.9958817362785339,-0.0022662878036499023,-0.0005535483360290527,-0.08642798662185669
total_gen,0.9839775562286377,0.9835454821586609,0.9818743467330933,0.9952749013900757,-0.00043207406997680664,-0.0021032094955444336,-0.013400554656982422
metered_load_mw,0.987606406211853,0.9874694347381592,0.9852158427238464,0.9945668578147888,-0.00013697147369384766,-0.002390563488006592,-0.009351015090942383
total_losses,0.7855270504951477,0.787804901599884,0.7825357913970947,0.8267552852630615,0.002277851104736328,-0.0029912590980529785,-0.0442194938659668
total_lmp_da,0.9736018180847168,0.9727290272712708,0.9694585204124451,0.9976135492324829,-0.0008727908134460449,-0.0041432976722717285,-0.028155028820037842
gross_actual_interchange_mw,0.7191278338432312,0.7104336023330688,0.7088049650192261,0.7351402044296265,-0.008694231510162354,-0.010322868824005127,-0.02633523941040039
congestion_price_da,0.3447057604789734,0.3394985795021057,0.31623178720474243,0.517056941986084,-0.005207180976867676,-0.028473973274230957,-0.20082515478134155
da_as_total_mw_thirty_minutes_reserve,0.7984097003936768,0.7736300230026245,0.7511717081069946,0.7876495122909546,-0.024779677391052246,-0.04723799228668213,-0.03647780418395996
net_actual_interchange_mw,0.7530937790870667,0.707106351852417,0.6394345164299011,0.819790780544281,-0.04598742723464966,-0.11365926265716553,-0.18035626411437988
