confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.9903855,0.9962878493933236,-0.00590235
total_gen,0.98843235,0.99832719588513,-0.009894848
total_lmp_da,0.98578066,0.99047564583207,-0.0046949983
da_as_total_mw_primary_reserve,0.95029616,0.953601669814596,-0.0033054948
da_as_total_mw_synchronized_reserve,0.9172362,0.920000100798808,-0.0027638674
da_as_total_mw_thirty_minutes_reserve,0.8841846,0.9141437178213236,-0.029959142
total_losses,0.8754851,0.9334742413917716,-0.05798912
net_actual_interchange_mw,0.86942846,0.9295984627394396,-0.060169995
marginal_loss_price_da,0.81632566,0.8816090434068973,-0.06528336
gross_actual_interchange_mw,0.8075794,0.8759973140166133,-0.06841791
congestion_price_rt,0.65859985,0.6702083206524372,-0.011608481
congestion_price_da,0.6525476,0.6602494811248918,-0.007701874
