epoch,train_loss,test_loss,test_mse_all,test_mse_excluded
1,0.5661207520642242,0.4986949563026428,0.4986949563026428,
2,0.4405656285173209,0.40903228521347046,0.40903228521347046,
3,0.3930931643908204,0.38686898350715637,0.38686898350715637,
4,0.368093391179415,0.3600691854953766,0.3600691854953766,
5,0.33809044433720725,0.3225252032279968,0.3225252032279968,
6,0.3128095232510416,0.29367953538894653,0.29367953538894653,
7,0.2933687593168515,0.26377859711647034,0.26377859711647034,
8,0.2726291216167912,0.2703220546245575,0.2703220546245575,
9,0.2611616070778652,0.23552203178405762,0.23552203178405762,
10,0.24831637219942118,0.2412785440683365,0.2412785440683365,
11,0.24905610765785297,0.2311268150806427,0.2311268150806427,
12,0.23214545774548162,0.218949094414711,0.218949094414711,
13,0.22594712227485517,0.22190308570861816,0.22190308570861816,
14,0.2202055432076131,0.21099795401096344,0.21099795401096344,
15,0.21857589267001065,0.2265690714120865,0.2265690714120865,
16,0.2149642143933491,0.20253024995326996,0.20253024995326996,
17,0.2134049862759595,0.19776496291160583,0.19776496291160583,
18,0.20997148443733485,0.19317275285720825,0.19317275285720825,
19,0.21195782646682948,0.19795167446136475,0.19795167446136475,
20,0.21059774602386888,0.19538596272468567,0.19538596272468567,
21,0.2074273269169729,0.1956654191017151,0.1956654191017151,
22,0.2009426755085831,0.18985624611377716,0.18985624611377716,
23,0.19344699976685312,0.2003193348646164,0.2003193348646164,
24,0.1954624475600751,0.18552428483963013,0.18552428483963013,
25,0.201023780678087,0.19748444855213165,0.19748444855213165,
26,0.19434962817320614,0.18553493916988373,0.18553493916988373,
27,0.19580592278705283,0.18107910454273224,0.18107910454273224,
28,0.19321698383695032,0.19251300394535065,0.19251300394535065,
29,0.20516911613042382,0.17755438387393951,0.17755438387393951,
30,0.19769068007428653,0.203589528799057,0.203589528799057,
31,0.19550538469916934,0.1815127432346344,0.1815127432346344,
32,0.19820941181633825,0.18175196647644043,0.18175196647644043,
33,0.1870829836686833,0.18798673152923584,0.18798673152923584,
34,0.18981660795344277,0.17909647524356842,0.17909647524356842,
35,0.18948547903178017,0.17285007238388062,0.17285007238388062,
36,0.18971456954891736,0.18396103382110596,0.18396103382110596,
37,0.1843004653457204,0.17138491570949554,0.17138491570949554,
38,0.18060233325616912,0.17055794596672058,0.17055794596672058,
39,0.18874020738120068,0.17848654091358185,0.17848654091358185,
40,0.18276753702449966,0.18283678591251373,0.18283678591251373,
41,0.1840428213624815,0.1860075145959854,0.1860075145959854,
42,0.17609823999269306,0.18443454802036285,0.18443454802036285,
43,0.1815556838774011,0.16928638517856598,0.16928638517856598,
44,0.1756912438918573,0.17974621057510376,0.17974621057510376,
45,0.18490168479214206,0.16768358647823334,0.16768358647823334,
46,0.17534388376752597,0.16937752068042755,0.16937752068042755,
47,0.17774616877064775,0.1847001314163208,0.1847001314163208,
48,0.17734430515706395,0.16943345963954926,0.16943345963954926,
49,0.17191474069876722,0.16845886409282684,0.16845886409282684,
50,0.17306099195941702,0.16795532405376434,0.16795532405376434,
51,0.17845959295099612,0.1807403862476349,0.1807403862476349,
52,0.17059824307724966,0.16189882159233093,0.16189882159233093,
53,0.1657503548726248,0.15967921912670135,0.15967921912670135,
54,0.16744309646887415,0.17546097934246063,0.17546097934246063,
55,0.17599179777386767,0.16922177374362946,0.16922177374362946,
56,0.16868023938682247,0.16259680688381195,0.16259680688381195,
57,0.16726709221034924,0.15666939318180084,0.15666939318180084,
58,0.16492191022012354,0.15796880424022675,0.15796880424022675,
59,0.16777005148079432,0.15954948961734772,0.15954948961734772,
60,0.17125974255245635,0.17158196866512299,0.17158196866512299,
61,0.1713974375166543,0.16257266700267792,0.16257266700267792,
62,0.16890841364652717,0.17189206182956696,0.17189206182956696,
63,0.16464686961988656,0.16608299314975739,0.16608299314975739,
64,0.16536105233720508,0.15375946462154388,0.15375946462154388,
65,0.16900408973904782,0.1583123803138733,0.1583123803138733,
66,0.1682734327245886,0.15941402316093445,0.15941402316093445,
67,0.16662428675003887,0.17337390780448914,0.17337390780448914,
68,0.1644621935836836,0.15431223809719086,0.15431223809719086,
69,0.1647093619954017,0.1578645557165146,0.1578645557165146,
70,0.1622450011089285,0.16198040544986725,0.16198040544986725,
71,0.1686602648591964,0.1740473359823227,0.1740473359823227,
72,0.16478541646031777,0.1575510948896408,0.1575510948896408,
73,0.1634053155263542,0.15167629718780518,0.15167629718780518,
74,0.15850791838413802,0.14960557222366333,0.14960557222366333,
75,0.15660667554839655,0.1575203388929367,0.1575203388929367,
76,0.16024549827905074,0.15445992350578308,0.15445992350578308,
77,0.1622035770497828,0.153483048081398,0.153483048081398,
78,0.1633355029334843,0.15293754637241364,0.15293754637241364,
79,0.15644156364579948,0.15025582909584045,0.15025582909584045,
80,0.15258770295609367,0.14717251062393188,0.14717251062393188,
81,0.15970863185954473,0.15537062287330627,0.15537062287330627,
82,0.16160790993383337,0.15067081153392792,0.15067081153392792,
83,0.1544814908146001,0.14950308203697205,0.14950308203697205,
84,0.15411634046375738,0.1474757045507431,0.1474757045507431,
85,0.15891210673473113,0.15670017898082733,0.15670017898082733,
86,0.15793395600279422,0.14961612224578857,0.14961612224578857,
87,0.15484649346567858,0.14195984601974487,0.14195984601974487,
88,0.15638534400971738,0.1522788256406784,0.1522788256406784,
89,0.15812453361320247,0.1838052123785019,0.1838052123785019,
90,0.1566439059876128,0.16147689521312714,0.16147689521312714,
91,0.1564198751014727,0.15419189631938934,0.15419189631938934,
92,0.15160592920277782,0.1476973593235016,0.1476973593235016,
93,0.1521215223946533,0.16043514013290405,0.16043514013290405,
94,0.1506274845227875,0.14128601551055908,0.14128601551055908,
95,0.1495329073296832,0.15277278423309326,0.15277278423309326,
96,0.15643714396268824,0.14977267384529114,0.14977267384529114,
97,0.15051848359047185,0.16353659331798553,0.16353659331798553,
98,0.15975684357133663,0.14079266786575317,0.14079266786575317,
99,0.15099977540356788,0.15809138119220734,0.15809138119220734,
100,0.15302945495846745,0.13852889835834503,0.13852889835834503,
101,0.15237389617910257,0.14214131236076355,0.14214131236076355,
102,0.14791126172574784,0.138674795627594,0.138674795627594,
103,0.14675999088117464,0.138142928481102,0.138142928481102,
104,0.14850563265823233,0.1494683474302292,0.1494683474302292,
105,0.1522569549248665,0.14372123777866364,0.14372123777866364,
106,0.14495930949128202,0.17221784591674805,0.17221784591674805,
107,0.1444585243064247,0.14142507314682007,0.14142507314682007,
108,0.14320869617834672,0.13602501153945923,0.13602501153945923,
109,0.14712118477077363,0.14910872280597687,0.14910872280597687,
110,0.15012675796193634,0.1445191204547882,0.1445191204547882,
111,0.14939227587882145,0.13865941762924194,0.13865941762924194,
112,0.14996081579612164,0.2345413714647293,0.2345413714647293,
113,0.16019829214073833,0.13990353047847748,0.13990353047847748,
114,0.15010275414603602,0.14345525205135345,0.14345525205135345,
115,0.14626176836158641,0.1377013921737671,0.1377013921737671,
116,0.1500019767064107,0.1487138569355011,0.1487138569355011,
117,0.14911073579406864,0.13756538927555084,0.13756538927555084,
118,0.1455479777795761,0.13741058111190796,0.13741058111190796,
119,0.14042190608634852,0.1429407298564911,0.1429407298564911,
120,0.14826690457074515,0.13709014654159546,0.13709014654159546,
121,0.14198864876126432,0.12950576841831207,0.12950576841831207,
122,0.14048838200431993,0.13838955760002136,0.13838955760002136,
123,0.1417468386613146,0.13276752829551697,0.13276752829551697,
124,0.1372713270329473,0.13083475828170776,0.13083475828170776,
125,0.14293548374504378,0.14611102640628815,0.14611102640628815,
126,0.14838763442492012,0.13868750631809235,0.13868750631809235,
127,0.14376384699479716,0.13853700459003448,0.13853700459003448,
128,0.13645963480228898,0.14453604817390442,0.14453604817390442,
129,0.14025303908788345,0.14048971235752106,0.14048971235752106,
130,0.1375933613300999,0.13381296396255493,0.13381296396255493,
131,0.13804092787987113,0.1292211264371872,0.1292211264371872,
132,0.1458650294567121,0.13982214033603668,0.13982214033603668,
133,0.1444519428379215,0.12887977063655853,0.12887977063655853,
134,0.14067111690531736,0.13103049993515015,0.13103049993515015,
135,0.1353086437319691,0.13328106701374054,0.13328106701374054,
136,0.13697149036145725,0.1316857486963272,0.1316857486963272,
137,0.14446773011002775,0.1349661648273468,0.1349661648273468,
138,0.1390611546625107,0.1412467062473297,0.1412467062473297,
139,0.1398436604540549,0.13860726356506348,0.13860726356506348,
140,0.13491046141307841,0.13354447484016418,0.13354447484016418,
141,0.13502896121869706,0.1282617598772049,0.1282617598772049,
142,0.1346481250967172,0.1311589628458023,0.1311589628458023,
143,0.1343745031266411,0.128362774848938,0.128362774848938,
144,0.1340790030697276,0.1319715976715088,0.1319715976715088,
145,0.13288778673527052,0.1287272721529007,0.1287272721529007,
146,0.13552143947864884,0.13349886238574982,0.13349886238574982,
147,0.1364171166686509,0.12812821567058563,0.12812821567058563,
148,0.13480504444869523,0.13532568514347076,0.13532568514347076,
149,0.13414945096219125,0.1320958286523819,0.1320958286523819,
150,0.13517257560829524,0.12543874979019165,0.12543874979019165,
151,0.1331513182877663,0.12550808489322662,0.12550808489322662,
152,0.13124960118823126,0.1299734115600586,0.1299734115600586,
153,0.1320950133325384,0.12918926775455475,0.12918926775455475,
154,0.1366301449711844,0.12801335752010345,0.12801335752010345,
155,0.1361462409738155,0.1268657147884369,0.1268657147884369,
156,0.13450614656010182,0.1279415488243103,0.1279415488243103,
157,0.13030795358798425,0.12955524027347565,0.12955524027347565,
158,0.13647865279810859,0.12270718812942505,0.12270718812942505,
159,0.13677316339388992,0.12452608346939087,0.12452608346939087,
160,0.13191304705415216,0.14231006801128387,0.14231006801128387,
161,0.13173556773490858,0.13553182780742645,0.13553182780742645,
162,0.13064579983556626,0.12368294596672058,0.12368294596672058,
163,0.13137761650878532,0.12666791677474976,0.12666791677474976,
164,0.13090897379104127,0.12803064286708832,0.12803064286708832,
165,0.12841139670147256,0.12582962214946747,0.12582962214946747,
166,0.1302444986572035,0.12306036800146103,0.12306036800146103,
167,0.1267460923334253,0.12182345241308212,0.12182345241308212,
168,0.12926448677055818,0.12079835683107376,0.12079835683107376,
169,0.12674290597386859,0.12427207082509995,0.12427207082509995,
170,0.12724805076635592,0.12462813407182693,0.12462813407182693,
171,0.12634606356453496,0.12289021909236908,0.12289021909236908,
172,0.13064443915725196,0.11802125722169876,0.11802125722169876,
173,0.12772343008671225,0.13320699334144592,0.13320699334144592,
174,0.13039136232634105,0.12332656979560852,0.12332656979560852,
175,0.1263376790555273,0.11976907402276993,0.11976907402276993,
176,0.12864743547031474,0.12585541605949402,0.12585541605949402,
