beam,key,touched4,touch_frac,seconds,cov>0.1,cov>0.15,cov>0.2,rand_cov>0.1,rand_cov>0.15,rand_cov>0.2
50,vmax,1173,0.0086408203254488,0.3,0.0043,0.0,0.0,0.013,0.0,0.0
50,syn,1938,0.014276137929002364,0.1,0.2739,0.0909,0.0,0.0217,0.1818,0.0
50,hybrid,2744,0.020213479090393442,0.2,0.2739,0.0909,0.0,0.013,0.0,0.0
100,vmax,2255,0.016611295681063124,0.1,0.0522,0.0,0.0,0.013,0.0,0.0
100,syn,3777,0.02782299946225074,0.2,0.3739,0.0909,0.0,0.0261,0.0,0.0
100,hybrid,5455,0.04018386604886889,0.3,0.4522,0.2727,0.0,0.0304,0.0909,0.0
200,vmax,4279,0.031520946438700265,0.2,0.1565,0.0909,0.0,0.0304,0.0,0.0
200,syn,7301,0.05378229257979683,0.4,0.6261,0.3636,0.0,0.0565,0.0,0.0
200,hybrid,10237,0.07541012589225862,0.6,0.6652,0.3636,0.0,0.0696,0.0,0.0
500,vmax,10008,0.07372321382531252,0.4,0.187,0.2727,0.0,0.0652,0.0,0.0
500,syn,17098,0.12595119004648217,0.9,0.7783,0.5455,0.0,0.0696,0.0,0.0
500,hybrid,24404,0.1797703147674787,1.2,0.813,0.6364,0.0,0.1174,0.2727,0.0
1000,vmax,14794,0.10897893938166202,0.5,0.1913,0.2727,0.0,0.1043,0.0,0.0
1000,syn,30967,0.22811618330620032,1.4,0.8957,0.8182,0.0,0.2261,0.2727,0.0
1000,hybrid,40977,0.3018541299879927,1.8,0.9087,0.9091,0.0,0.2261,0.1818,0.0
