field,s_max,s_or,n_reachable_conf,s_walk,realized_direct,realized_2hop,realized_chained,best_2hop_chain,s_1hop,pearson_base
forecast_load_mw_latest_available,0.9905207435695431,0.9999844936249318,12,11.88555872404467,0.9905207435695431,0.9897064058753458,0.9905207435695431,forecast_load_mw_latest_available -> forecast_load_mw_day_ahead -> metered_load_mw (R2=0.990),0.9905207435695431,0.9954966800761914
forecast_load_mw_day_ahead,0.9816559952808818,0.9999636278932826,12,11.91607353686955,0.9816559952808818,0.9815748192801725,0.9816559952808818,forecast_load_mw_day_ahead -> forecast_load_mw_latest_available -> metered_load_mw (R2=0.982),0.9816559952808818,0.99084234459492
system_energy_price_da,0.9470320681684327,0.9978537875908002,12,8.42818328243511,0.9470320681684327,0.8073610589015348,0.9470320681684327,system_energy_price_da -> marginal_loss_price_rt -> total_lmp_da (R2=0.807),0.9470320681684327,0.9912527038698382
gen_fuel_gas_mw,0.8748690712595171,0.9979965569994581,12,11.11223554762835,0.8748690712595171,0.8713501045061085,0.8748690712595171,gen_fuel_gas_mw -> forecast_load_mw_latest_available -> total_gen (R2=0.871),0.8748690712595171,0.927655027780807
gen_fuel_nuclear_pct,0.8657449477085807,0.998085963944583,12,11.135541938604772,0.8657449477085807,0.8653959075097417,0.8657449477085807,gen_fuel_nuclear_pct -> forecast_load_mw_latest_available -> metered_load_mw (R2=0.865),0.8657449477085807,0.9090682274084698
gen_fuel_coal_mw,0.7661005772148496,0.9951311197578275,12,9.75998818138942,0.7661005772148496,0.7609794208529352,0.7661005772148496,gen_fuel_coal_mw -> forecast_load_mw_latest_available -> total_gen (R2=0.761),0.7661005772148496,0.8603918586940097
gen_fuel_oil_mw,0.6855548730820767,0.9867308038178881,12,9.628273072956013,0.6855548730820767,0.6826911838861072,0.6855548730820767,gen_fuel_oil_mw -> system_energy_price_da -> total_lmp_da (R2=0.683),0.6855548730820767,0.8014498495583379
da_as_mcp_synchronized_reserve,0.6721310591375821,0.9577645824654305,12,5.589317389058842,0.6721310591375822,0.6673568374124748,0.6721310591375822,da_as_mcp_synchronized_reserve -> system_energy_price_da -> total_lmp_da (R2=0.667),0.6721310591375822,0.78476729331471
da_as_nsr_mw_primary_reserve,0.6669432153704117,0.9942934147451437,12,8.512791058112612,0.6669432153704118,0.4252847666169044,0.6669432153704118,da_as_nsr_mw_primary_reserve -> forecast_load_mw_day_ahead -> metered_load_mw (R2=0.425),0.6669432153704118,0.7352571458525399
gen_fuel_oil_pct,0.61963502308672,0.9731858290297131,12,8.215521906862637,0.61963502308672,0.624960380791274,0.624960380791274,gen_fuel_oil_pct -> gen_fuel_oil_mw -> total_lmp_da (R2=0.625),0.61963502308672,0.7556277478469867
gross_inadv_interchange_mw,0.6179355352165536,0.8550467129827805,12,2.348608636424353,0.6179355352165536,0.2554463353203108,0.6179355352165536,gross_inadv_interchange_mw -> gross_sched_interchange_mw -> gross_actual_interchange_mw (R2=0.255),0.6179355352165536,0.7829079206810702
da_as_mcp_primary_reserve,0.568188901901644,0.9339964307102442,12,5.208126100395242,0.568188901901644,0.5625311864963061,0.568188901901644,da_as_mcp_primary_reserve -> system_energy_price_da -> total_lmp_da (R2=0.563),0.568188901901644,0.7164782761651198
gen_fuel_nuclear_mw,0.5623781043906461,0.9911818799515875,12,8.42290284721751,0.5623781043906461,0.5533838771456722,0.5623781043906461,gen_fuel_nuclear_mw -> forecast_load_mw_latest_available -> total_gen (R2=0.553),0.5623781043906461,0.6020144166387527
da_as_as_req_mw_primary_reserve,0.5335738435592225,0.9682505902274428,12,4.820183114256429,0.5335738435592225,0.5275755963432298,0.5335738435592225,da_as_as_req_mw_primary_reserve -> da_as_as_req_mw_synchronized_reserve -> da_as_total_mw_synchronized_reserve (R2=0.528),0.5335738435592225,0.729390918196729
da_as_as_req_mw_synchronized_reserve,0.5335738435592225,0.9682505902274428,12,4.820183120419525,0.5335738435592225,0.5275291737251713,0.5335738435592225,da_as_as_req_mw_synchronized_reserve -> da_as_as_req_mw_primary_reserve -> da_as_total_mw_synchronized_reserve (R2=0.528),0.5335738435592225,0.7293929231220716
gen_fuel_coal_pct,0.5308602334685699,0.9693663936876757,12,5.918901468209284,0.4679005914245141,0.44942139652663715,0.4679005914245141,gen_fuel_coal_pct -> forecast_load_mw_day_ahead -> total_gen (R2=0.449),0.4679005914245141,0.6606232036600758
da_as_as_req_mw_thirty_minutes_reserve,0.5216821771930664,0.9475463249959859,12,3.668612889073313,0.5216821771930664,0.4997237001480366,0.5216821771930664,da_as_as_req_mw_thirty_minutes_reserve -> da_as_as_req_mw_synchronized_reserve -> da_as_total_mw_synchronized_reserve (R2=0.500),0.5216821771930664,0.7242038097160353
marginal_loss_price_rt,0.5175748871536774,0.9614903168615906,12,6.880384665351251,0.5175748871536774,0.5153237206387998,0.5175748871536774,marginal_loss_price_rt -> system_energy_price_da -> total_lmp_da (R2=0.515),0.5175748871536774,0.6167316723996752
gen_fuel_other_renewables_pct,0.5073236786781155,0.9188450396244354,12,6.516420068086694,0.5073236786781155,0.5070422467814224,0.5073236786781155,gen_fuel_other_renewables_pct -> forecast_load_mw_latest_available -> total_gen (R2=0.507),0.5073236786781155,0.6879342146498625
total_lmp_rt,0.5014119910415553,0.9481465181459665,12,6.558843905504002,0.5014119910415553,0.5014541682740002,0.5014541682740002,total_lmp_rt -> marginal_loss_price_rt -> total_lmp_da (R2=0.501),0.5014119910415553,0.6219935085986122
gen_fuel_gas_pct,0.39948522055201097,0.855454876898239,12,3.688240283556946,0.23499342114882982,0.23069063908762155,0.23499342114882982,gen_fuel_gas_pct -> forecast_load_mw_latest_available -> total_gen (R2=0.231),0.23499342114882982,0.4535047825971247
gen_fuel_hydro_mw,0.3044397531437726,0.8533882589432417,12,5.614455853464383,0.3044397531437726,0.30530538864571166,0.30530538864571166,gen_fuel_hydro_mw -> forecast_load_mw_latest_available -> metered_load_mw (R2=0.305),0.3044397531437726,0.4673471525743646
