field,s_max,s_or,n_reachable_conf,s_walk,realized_direct,realized_2hop,realized_chained,best_2hop_chain,s_1hop,pearson_base
gen_fuel_multiple_fuels_mw,0.2800222154742192,0.8294701641962663,12,5.520171152175534,0.2800222154742191,0.2788204649013766,0.2800222154742191,gen_fuel_multiple_fuels_mw -> forecast_load_mw_day_ahead -> metered_load_mw (R2=0.279),0.2800222154742191,0.4665139152282837
gen_fuel_hydro_pct,0.22522545596257867,0.7625958074997942,12,3.4029668783130655,0.15583561150352232,0.15321600950330072,0.15583561150352232,gen_fuel_hydro_pct -> system_energy_price_da -> total_lmp_da (R2=0.153),0.15583561150352232,0.33126528545774453
gross_sched_interchange_mw,0.21715183799110208,0.5265072916558753,12,0.39430124900234864,0.21715183799110205,0.19121395657882778,0.21715183799110205,gross_sched_interchange_mw -> gross_inadv_interchange_mw -> gross_actual_interchange_mw (R2=0.191),0.21715183799110205,0.46762911790402
gen_fuel_wind_pct,0.21495106873722006,0.63178178982081,12,2.3142467151816004,0.1685540527071635,0.1640969451868014,0.1685540527071635,gen_fuel_wind_pct -> forecast_load_mw_day_ahead -> total_gen (R2=0.164),0.1685540527071635,0.3626609117717319
gen_fuel_multiple_fuels_pct,0.21202002119869348,0.7630443347141365,12,3.1779503631171675,0.21202002119869345,0.169158038812123,0.21202002119869345,gen_fuel_multiple_fuels_pct -> gen_fuel_multiple_fuels_mw -> da_as_total_mw_thirty_minutes_reserve (R2=0.169),0.21202002119869345,0.47575190586968874
total_pjm_rmccp_cr,0.1673805697759164,0.555823902861291,12,1.8514015090038929,0.16738056977591642,0.1749473410324066,0.1749473410324066,total_pjm_rmccp_cr -> rmccp -> total_lmp_da (R2=0.175),0.16738056977591642,0.3029075794809336
rmccp,0.16520088437172573,0.5331803489210114,12,1.8667282767193003,0.16520088437172575,0.17322326521154452,0.17322326521154452,rmccp -> system_energy_price_da -> total_lmp_da (R2=0.173),0.16520088437172575,0.32028652723133694
gen_fuel_wind_mw,0.16376897499204687,0.5262792844094213,12,0.8554690656500673,0.04748197519752406,0.05645261469298202,0.05645261469298202,gen_fuel_wind_mw -> gen_fuel_wind_pct -> total_gen (R2=0.056),0.04748197519752406,0.258329579467767
total_pjm_rmpcp_cr,0.15282006297139072,0.47885400674812406,12,1.136072634007887,0.15282006297139072,0.1035752210709745,0.15282006297139072,total_pjm_rmpcp_cr -> forecast_load_mw_latest_available -> total_gen (R2=0.104),0.15282006297139072,0.20823734645830333
total_pjm_reg_purchases,0.1507020152120394,0.6690688382002412,12,2.9878012393063695,0.1507020152120394,0.1522216161790264,0.1522216161790264,total_pjm_reg_purchases -> system_energy_price_da -> total_lmp_da (R2=0.152),0.1507020152120394,0.3447864260250707
rmpcp,0.13589486909152274,0.48679223170636154,12,1.3506564489163806,0.1358948690915227,0.0826103634747043,0.1358948690915227,rmpcp -> forecast_load_mw_day_ahead -> total_gen (R2=0.083),0.1358948690915227,0.08633757176579455
gen_fuel_solar_pct,0.13484708453529085,0.4790168346588273,12,1.44654683180097,0.13484708453529082,0.12113047751632977,0.13484708453529082,gen_fuel_solar_pct -> gross_inadv_interchange_mw -> gross_actual_interchange_mw (R2=0.121),0.13484708453529082,0.38963613002780456
gen_fuel_solar_mw,0.13346415847581683,0.4630092646757905,12,0.9168469068266721,0.13346415847581683,0.10662282288277891,0.13346415847581683,gen_fuel_solar_mw -> gross_inadv_interchange_mw -> gross_actual_interchange_mw (R2=0.107),0.13346415847581683,0.3599449223207591
da_as_ss_mw_synchronized_reserve,0.1254493343429884,0.6444797899773368,12,4.058283089320624,0.12544933434298844,0.12436176195989623,0.12544933434298844,da_as_ss_mw_synchronized_reserve -> forecast_load_mw_day_ahead -> metered_load_mw (R2=0.124),0.12544933434298844,0.16740382318571945
da_as_ss_mw_thirty_minutes_reserve,0.1254493343429884,0.6444797899773368,12,4.058283089320624,0.12544933434298844,0.12436176195989623,0.12544933434298844,da_as_ss_mw_thirty_minutes_reserve -> forecast_load_mw_day_ahead -> metered_load_mw (R2=0.124),0.12544933434298844,0.16740382318571945
da_as_ss_mw_primary_reserve,0.1254493343429884,0.6444797899773368,12,4.058283089320624,0.12544933434298844,0.12436176195989623,0.12544933434298844,da_as_ss_mw_primary_reserve -> forecast_load_mw_day_ahead -> metered_load_mw (R2=0.124),0.12544933434298844,0.16740382318571945
gen_fuel_storage_mw,0.1222273083380636,0.4767610355591636,12,1.5243479861580072,0.12222730833806361,0.12156543857990298,0.12222730833806361,gen_fuel_storage_mw -> system_energy_price_da -> total_lmp_da (R2=0.122),0.12222730833806361,0.30849208797680633
gen_fuel_other_renewables_mw,0.10456878033013263,0.5149573941757779,12,1.252708061330723,0.10456878033013262,0.10737506270829122,0.10737506270829122,gen_fuel_other_renewables_mw -> forecast_load_mw_day_ahead -> total_gen (R2=0.107),0.10456878033013262,0.3099973937865399
total_pjm_assigned_reg,0.08629916981475425,0.4630241009765216,12,0.5599860147348277,0.05927246582827905,0.03766423599410784,0.05927246582827905,total_pjm_assigned_reg -> gen_fuel_solar_mw -> gross_actual_interchange_mw (R2=0.038),0.05927246582827905,0.2796846865884905
total_pjm_loc_credit,0.0552578754978065,0.2464712562333169,12,0.43183591483041717,0.05421312319925342,0.052357850267205075,0.05421312319925342,total_pjm_loc_credit -> system_energy_price_da -> total_lmp_da (R2=0.052),0.05421312319925342,0.2978793683613684
total_pjm_self_sched_reg,0.011461922002853247,0.07931858103390266,12,0.028199807394042615,0.009489497080831577,0.0,0.009489497080831577,,0.009489497080831577,0.15596200554920406
net_inadv_interchange_mw,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.17157170151646303
