数据集,目标,字段,K,exact_M,exact_witness,exact_V_T,exact_V_Ti,档位,est_M_集成,est_bias_集成,cert_L_集成,top1_witness,top1_est,top1_exact,est_M_单种子,est_bias_单种子,cert_L_单种子,est_M_元训练,est_bias_元训练,cert_L_元训练,critical_τ0.5,est_critical_τ0.5,critical_τ0.7,est_critical_τ0.7,critical_τ0.9,est_critical_τ0.9,top2_witness,top2_est,top2_exact,top3_witness,top3_est,top3_exact
pjm,net_actual_interchange_mw,gen_fuel_coal_mw,0,0.1836608648300171,∅,0.0,0.1836608648300171,低(0.05-0.2),0.18786008656024933,0.004199221730232239,0.1836608648300171,∅,0.18786008656024933,0.1836608648300171,0.1868465095758438,0.003185644745826721,0.1836608648300171,0.1888718158006668,0.005210950970649719,0.1836608648300171,False,False,False,False,False,False,,,,,,
pjm,gross_actual_interchange_mw,gen_fuel_coal_mw,0,0.1437419056892395,∅,0.0,0.1437419056892395,低(0.05-0.2),0.1509227752685547,0.0071808695793151855,0.1437419056892395,∅,0.1509227752685547,0.1437419056892395,0.14561058580875397,0.0018686801195144653,0.1437419056892395,0.14430631697177887,0.0005644112825393677,0.1437419056892395,False,False,False,False,False,False,,,,,,
pjm,total_gen,gen_fuel_coal_mw,0,0.7639100551605225,∅,0.0,0.7639100551605225,高(≥0.5),0.7679961323738098,0.0040860772132873535,0.7639100551605225,∅,0.7679961323738098,0.7639100551605225,0.7679072618484497,0.003997206687927246,0.7639100551605225,0.7676209211349487,0.0037108659744262695,0.7639100551605225,True,True,True,True,False,False,,,,,,
pjm,metered_load_mw,gen_fuel_coal_mw,0,0.7489304542541504,∅,0.0,0.7489304542541504,高(≥0.5),0.7531178593635559,0.004187405109405518,0.7489304542541504,∅,0.7531178593635559,0.7489304542541504,0.7532230019569397,0.004292547702789307,0.7489304542541504,0.7526246905326843,0.0036942362785339355,0.7489304542541504,True,True,True,True,False,False,,,,,,
pjm,total_losses,gen_fuel_coal_mw,0,0.5049082040786743,∅,0.0,0.5049082040786743,高(≥0.5),0.5059303641319275,0.0010221600532531738,0.5049082040786743,∅,0.5059303641319275,0.5049082040786743,0.5057607889175415,0.0008525848388671875,0.5049082040786743,0.5035105347633362,-0.0013976693153381348,0.5049082040786743,True,True,False,False,False,False,,,,,,
pjm,congestion_price_da,gen_fuel_coal_mw,0,0.09496630728244781,∅,0.0,0.09496630728244781,低(0.05-0.2),0.10504429787397385,0.010077990591526031,0.09496630728244781,∅,0.10504429787397385,0.09496630728244781,0.09808234870433807,0.003116041421890259,0.09496630728244781,0.09608235955238342,0.001116052269935608,0.09496630728244781,False,False,False,False,False,False,,,,,,
pjm,congestion_price_rt,gen_fuel_coal_mw,0,0.033912837505340576,∅,0.0,0.033912837505340576,可忽略(<0.05),0.031062820926308632,-0.0028500165790319443,0.033912837505340576,∅,0.031062820926308632,0.033912837505340576,0.03132099285721779,-0.0025918446481227875,0.033912837505340576,0.03349245339632034,-0.00042038410902023315,0.033912837505340576,False,False,False,False,False,False,,,,,,
pjm,marginal_loss_price_da,gen_fuel_coal_mw,0,0.35390400886535645,∅,0.0,0.35390400886535645,中(0.2-0.5),0.36143895983695984,0.0075349509716033936,0.35390400886535645,∅,0.36143895983695984,0.35390400886535645,0.3778814375400543,0.023977428674697876,0.35390400886535645,0.31671592593193054,-0.0371880829334259,0.35390400886535645,False,False,False,False,False,False,,,,,,
pjm,total_lmp_da,gen_fuel_coal_mw,0,0.38225889205932617,∅,0.0,0.38225889205932617,中(0.2-0.5),0.4085366725921631,0.026277780532836914,0.38225889205932617,∅,0.4085366725921631,0.38225889205932617,0.4138548672199249,0.031595975160598755,0.38225889205932617,0.36562487483024597,-0.0166340172290802,0.38225889205932617,False,False,False,False,False,False,,,,,,
pjm,da_as_total_mw_primary_reserve,gen_fuel_coal_mw,0,0.09625566005706787,∅,0.0,0.09625566005706787,低(0.05-0.2),0.09809917211532593,0.0018435120582580566,0.09625566005706787,∅,0.09809917211532593,0.09625566005706787,0.09830031543970108,0.0020446553826332092,0.09625566005706787,0.09754391759634018,0.0012882575392723083,0.09625566005706787,False,False,False,False,False,False,,,,,,
