signal,budget,cost_steps,rec_all,rec_strong
all_k25,1.0,25.0,0.875644099736264,0.5204089678555471
all_k0,0.0,0.0,0.8261583100362984,0.047309906168686106
sigma,0.0,0.0,0.8261583100362984,0.047309906168686106
sigma,0.05,1.25,0.8368783327950238,0.09461981233737221
sigma,0.1,2.5,0.8427856551582522,0.09461981233737221
sigma,0.2,5.0,0.8651882407548025,0.09461981233737221
sigma,0.3,7.5,0.8640936187870712,0.2365495308434305
sigma,0.4,10.0,0.859148836502942,0.3311693431808027
sigma,0.6,15.0,0.8796263419412935,0.473099061686861
boundary,0.0,0.0,0.8261583100362984,0.047309906168686106
boundary,0.05,1.25,0.8282154720831291,0.047309906168686106
boundary,0.1,2.5,0.813513207119374,0.047309906168686106
boundary,0.2,5.0,0.8251957699571989,0.047309906168686106
boundary,0.3,7.5,0.8309710104317953,0.09461981233737221
boundary,0.4,10.0,0.8426535732696203,0.14192971850605832
boundary,0.6,15.0,0.8465037335860179,0.2365495308434305
s1s2gap,0.0,0.0,0.8261583100362984,0.047309906168686106
s1s2gap,0.05,1.25,0.8309710104317953,0.18923962467474442
s1s2gap,0.1,2.5,0.8388034129532227,0.18923962467474442
s1s2gap,0.2,5.0,0.8594130002802061,0.2365495308434305
s1s2gap,0.3,7.5,0.8525431378378782,0.3311693431808027
s1s2gap,0.4,10.0,0.8603755403593055,0.3311693431808027
s1s2gap,0.6,15.0,0.8485608956328486,0.37847924934948884
random,0.0,0.0,0.8261583100362984,0.047309906168686106
random,0.05,1.25,0.8290459302735965,0.14192971850605832
random,0.1,2.5,0.830008470352696,0.14192971850605832
random,0.2,5.0,0.8408605750000534,0.09461981233737221
random,0.3,7.5,0.8309710104317954,0.2365495308434305
random,0.4,10.0,0.8280833901944972,0.14192971850605832
random,0.6,15.0,0.8318014686222629,0.2365495308434305
