band,n,sigma_med,s1k0_med,s1k25_med
0.10-0.12,89,0.006607919462607877,0.07493257522583,0.0876609683036803
0.12-0.15,127,0.007491251362189454,0.0837001204490661,0.1136303544044494
0.15-0.20,96,0.006829826029167376,0.09092253446578974,0.1258876919746398
>0.20,15,0.005782127712880227,0.0151479840278626,0.0676096081733703
