target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.20024063,0.19978373,0.19996716,0.2001229,0.1998856
gross_actual_interchange_mw,0.199999,0.20000225,0.20000023,0.19999696,0.20000152
total_gen,0.20025286,0.20030707,0.19959594,0.19994001,0.19990407
metered_load_mw,0.19899148,0.19825083,0.19955955,0.20371528,0.19948286
total_losses,0.17451625,0.17550276,0.18471898,0.28840202,0.17685995
congestion_price_da,0.19877368,0.19636132,0.1944328,0.20438986,0.20604233
congestion_price_rt,0.22801131,0.22313051,0.22168644,0.12541728,0.20175456
marginal_loss_price_da,0.20597139,0.19957085,0.20055167,0.18278638,0.21111979
total_lmp_da,0.20091842,0.18671137,0.2074898,0.21456115,0.19031924
da_as_total_mw_primary_reserve,0.20520516,0.19489852,0.19160031,0.21192591,0.19637012
da_as_total_mw_synchronized_reserve,0.19025601,0.1881318,0.18972631,0.23787774,0.19400822
da_as_total_mw_thirty_minutes_reserve,0.2057438,0.20737538,0.1956186,0.18573229,0.20552988
