field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.9254083633422852,-2.17359831935597,False
gross_actual_interchange_mw,0.2460934792895835,-0.5567127466201782,-0.8028062259097617,False
total_gen,0.9906449538219424,0.9137038365006447,-0.07694111732129771,True
metered_load_mw,0.9762308832723112,0.9494844935834408,-0.026746389688870442,True
total_losses,0.6540839836602339,0.5315922498703003,-0.12249173378993361,True
congestion_price_da,0.0475838272605031,0.18609070777893066,0.13850688051842758,True
congestion_price_rt,0.4561738508473963,0.4400070905685425,-0.01616676027885383,True
marginal_loss_price_da,0.4407231017762543,0.4436842203140259,0.00296111853777159,True
total_lmp_da,0.9299314144617218,0.7770108282566071,-0.15292058620511473,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9659905582666397,-0.009237260691121851,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9062094390392303,-0.03563367200641643,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.23170256614685059,-0.2252014718576535,True
