field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.862969160079956,-0.06662930265948352
gross_actual_interchange_mw,0.8759973140166133,0.8025715351104736,-0.07342577890613966
total_gen,0.99832719588513,0.9881152510643005,-0.010211944820829433
metered_load_mw,0.9962878493933236,0.9905040860176086,-0.0057837633757149565
total_losses,0.9334742413917716,0.8537230491638184,-0.07975119222795324
congestion_price_da,0.6602494811248918,0.5896572470664978,-0.07059223405839399
congestion_price_rt,0.6702083206524372,0.6507731080055237,-0.019435212646913502
marginal_loss_price_da,0.8816090434068973,0.7903492450714111,-0.09125979833548614
total_lmp_da,0.99047564583207,0.9827741980552673,-0.007701447776802706
da_as_total_mw_primary_reserve,0.953601669814596,0.950258195400238,-0.0033434744143580053
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9175748825073242,-0.0024252182914837883
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8665210604667664,-0.047622657354557285
