band,n,truth_mean,resid_m2_mean,resid_m2_p90,resid_m3_mean,frac_resid_gt_noise
5-8,120.0,0.5459938312570254,0.08856035719315211,0.16146721243858345,0.08089129080375036,0.9166666666666666
9-16,120.0,0.7200176253914833,0.16657254646221797,0.2931342244148255,0.14462475577990214,0.875
17-32,120.0,0.8065137286980947,0.14785793672005335,0.3088584423065186,0.11509420524040857,0.7083333333333334
33-44,120.0,0.8600757658481598,0.12564051747322083,0.3601681590080262,0.08705148696899415,0.5916666666666667
