subset,model,n,mae,bias,spearman,resid_mean,resid_p90
all_wide,最强单字段,600,0.2114225372672081,-0.21121542165676752,0.8947549169489015,0.21121542165676752,0.46241075396537784
all_wide,最强字段对,600,0.1085016526778539,-0.10777026931444804,0.9591678156666383,0.10777026931444804,0.27300620675086995
all_wide,最强三元组,600,0.08845683882633845,-0.08757634550333022,0.981285530717771,0.08757634550333022,0.21100794672966003
all_wide,加性Möbius二阶,600,0.3863950826724369,-0.27777563711007386,-0.12831490727923633,0.27777563711007386,0.980725711584091
size>=5,最强单字段,480,0.2545916500190894,-0.25434727569421134,0.8510074123517384,0.25434727569421134,0.4802220284938813
size>=5,最强字段对,480,0.13301916408042114,-0.13215783946216106,0.9409340238164696,0.13215783946216106,0.2913395524024964
size>=5,最强三元组,480,0.10796314676602682,-0.1069154346982638,0.9745568636409327,0.1069154346982638,0.22530307173728945
size>=5,加性Möbius二阶,480,0.4796757824718951,-0.3474101225535068,-0.21608871657071602,0.3474101225535068,0.9847101032733918
size>=9,最强单字段,360,0.28174887730015646,-0.2814592291911443,0.8176926818588167,0.2814592291911443,0.509682047367096
size>=9,最强字段对,360,0.14778198467360604,-0.14669033355183073,0.9278354822231786,0.14669033355183073,0.31381532549858115
size>=9,最强三元组,360,0.11692372841967477,-0.11559014932976829,0.9713844125043403,0.11559014932976829,0.24437114596366888
size>=9,加性Möbius二阶,360,0.5726858249968949,-0.4492762941453185,-0.21577194062673433,0.4492762941453185,0.9891299843788147
size>=17,最强单字段,240,0.27894022439916927,-0.2785658769309521,0.7828334560408151,0.2785658769309521,0.5306415021419525
size>=17,最强字段对,240,0.13816252226630846,-0.1367492270966371,0.910145607337626,0.1367492270966371,0.34032577872276315
size>=17,最强三元组,240,0.10281554187337558,-0.10107284610470137,0.9643622886292427,0.10107284610470137,0.23506280779838565
size>=17,加性Möbius二阶,240,0.6441452863315739,-0.5665277269979311,-0.0764229937553772,0.5665277269979311,0.9903314709663391
