subset,model,raw_mae,cal_mae,cal_bias,cal_spearman
all_wide,最强单字段,0.2114225372672081,0.08277712295197133,0.00022821784190610946,0.8789864864324016
size>=5,最强单字段,0.2545916500190894,0.07680449062698727,0.0006249244258076825,0.8355464534226021
all_wide,最强字段对,0.1085016526778539,0.05112919882629869,0.00018266120815383442,0.9542850896813942
size>=5,最强字段对,0.13301916408042114,0.050144365139199155,0.0004754562956984639,0.9344399317318629
all_wide,最强三元组,0.08845683882633845,0.037376598232499225,0.000142515312420269,0.977043089685133
size>=5,最强三元组,0.10796314676602682,0.03532988600761654,2.558086081128526e-05,0.9688414939672308
