,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw,net_actual_interchange_mw,gross_actual_interchange_mw,total_gen,metered_load_mw,total_losses,congestion_price_da,congestion_price_rt,marginal_loss_price_da,total_lmp_da,da_as_total_mw_primary_reserve,da_as_total_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve
gen_fuel_coal_mw,0.2,0.2002289,0.2,0.2,0.199978,0.19987534,0.20013672,0.2,0.2,0.2,0.19989198,0.2,0.2,0.2,0.19977908,0.19991457,0.20002179,0.2,0.2,0.19992445,0.1999677,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19993708,0.20004384,0.1998681,0.2,0.20025389,0.20001894,0.2,0.20005585,0.2000415,0.2000223,0.20007972,0.2,0.2,0.20005178,0.20003933,0.2,0.2,0.2
gen_fuel_gas_mw,0.20000425,0.2,0.19999164,0.19995637,0.20001434,0.19998835,0.2,0.2,0.2,0.1999685,0.19999386,0.20005603,0.2,0.2,0.20004234,0.1999887,0.20000033,0.2,0.1999629,0.20002525,0.20002331,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20001198,0.20001717,0.20000695,0.2,0.2,0.2,0.2,0.20001787,0.20002264,0.20002624,0.20000668,0.2,0.20000191,0.2,0.2,0.19999258,0.19998689,0.20000508,0.2,0.2,0.20000537,0.20000443,0.2,0.20000231,0.2
gen_fuel_hydro_mw,0.2,0.20004448,0.2,0.2,0.2,0.20008092,0.2,0.2,0.19987571,0.2,0.2,0.2,0.19965893,0.2,0.19980392,0.20004968,0.2,0.2,0.2,0.20008004,0.20012222,0.2,0.19971992,0.20007606,0.19994979,0.2,0.2,0.2,0.19981974,0.1999461,0.20011555,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20023209,0.20017862,0.2,0.2,0.2,0.2,0.2,0.2,0.19997509,0.199963,0.2,0.2,0.2,0.19995308,0.19990867,0.2,0.2,0.2
gen_fuel_multiple_fuels_mw,0.2,0.19982286,0.2,0.2,0.2,0.2001383,0.2,0.2,0.2,0.20004576,0.2,0.19985919,0.2,0.19962034,0.19899568,0.20012678,0.19967869,0.2,0.19996911,0.1997979,0.1997528,0.2,0.2,0.2,0.2,0.2,0.2,0.20020157,0.19965023,0.2,0.2,0.2,0.2,0.2,0.1999325,0.20002986,0.19996504,0.2,0.2002204,0.200057,0.2001994,0.2,0.2,0.2,0.2,0.2,0.19994432,0.1999178,0.2,0.2,0.19994748,0.2,0.19999446,0.2,0.2,0.20013191
gen_fuel_nuclear_mw,0.19911835,0.20094103,0.2,0.2,0.2,0.2,0.19486971,0.2,0.2,0.2,0.19784439,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20110555,0.20132373,0.2,0.2,0.2,0.2,0.19931434,0.2,0.2,0.2,0.2,0.2,0.20004505,0.19993027,0.20014158,0.2,0.2,0.2,0.19879419,0.2,0.2,0.2,0.2,0.20004463,0.20007439,0.20013493,0.20037709,0.20054081,0.20071137,0.20036998,0.2,0.2,0.2,0.2,0.20011911,0.2,0.19999062
gen_fuel_oil_mw,0.20000353,0.20006883,0.20000416,0.20000139,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20024411,0.2,0.19979489,0.19996169,0.19998373,0.20002209,0.2,0.19990703,0.20002937,0.2000097,0.20000166,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19995536,0.19999018,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19997954,0.20001233,0.19998391,0.2,0.2,0.2,0.2,0.2,0.199992,0.19999453,0.2,0.2,0.19999443,0.19999534,0.20000902,0.2,0.2,0.19997431
gen_fuel_other_renewables_mw,0.19998305,0.2,0.2,0.2,0.19999443,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20008738,0.2,0.2,0.19998735,0.19998811,0.2,0.2,0.2,0.2,0.19999199,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_solar_mw,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000081,0.2,0.2,0.2,0.2,0.2,0.2,0.19999973,0.2,0.19999915,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000117,0.2,0.19999933,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_storage_mw,0.2,0.2,0.19998267,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19997142,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19999874,0.2,0.2,0.2,0.2,0.20000099,0.20002262,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000319,0.19999607,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19999732,0.2,0.2,0.2
gen_fuel_wind_mw,0.2,0.19999442,0.2,0.19999884,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19999257,0.2,0.20000102,0.2,0.2,0.2,0.2,0.19999039,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
