confidential_field,graph_multi_fixed_info_r2,graph_single_fixed_info_r2,dnn_probe_general_only_r2,graph_single_minus_probe,graph_multi_minus_probe
total_gen,0.9853320717811584,0.9957045912742615,0.99832719588513,-0.0026226046108684953,-0.012995124103971523
metered_load_mw,0.9887996912002563,0.9931491017341614,0.9962878493933236,-0.003138747659162222,-0.007488158193067251
total_lmp_da,0.9773788452148438,0.9850113987922668,0.99047564583207,-0.005464247039803194,-0.01309680061722629
da_as_total_mw_primary_reserve,0.9490666389465332,0.9541143774986267,0.953601669814596,0.0005127076840306666,-0.004535030868062839
da_as_total_mw_synchronized_reserve,0.9152980446815491,0.9209303855895996,0.920000100798808,0.0009302847907916023,-0.004702056117258935
da_as_total_mw_thirty_minutes_reserve,0.8194113969802856,0.8833390474319458,0.9141437178213236,-0.030804670389377842,-0.094732320841038
total_losses,0.8170769214630127,0.8740237951278687,0.9334742413917716,-0.059450446263902945,-0.1163973199287589
net_actual_interchange_mw,0.8077611923217773,0.8685948848724365,0.9295984627394396,-0.061003577867003056,-0.12183727041766224
gross_actual_interchange_mw,0.7469661235809326,0.7934238314628601,0.8759973140166133,-0.08257348255375319,-0.12903119043568068
marginal_loss_price_da,0.7242662310600281,0.7686936855316162,0.8816090434068973,-0.11291535787528106,-0.1573428123468692
congestion_price_rt,0.5666795969009399,0.608428955078125,0.6702083206524372,-0.061779365574312184,-0.10352872375149724
congestion_price_da,0.4174652695655823,0.45594358444213867,0.6602494811248918,-0.20430589668275312,-0.24278421155930952
