confidential_field,model_r2,probe_r2,gap
total_gen,0.98549783,0.99832719588513,-0.012829363
metered_load_mw,0.9831894,0.9962878493933236,-0.013098419
da_as_total_mw_primary_reserve,0.9523242,0.953601669814596,-0.0012774467
total_lmp_da,0.9459105,0.99047564583207,-0.04456514
da_as_total_mw_synchronized_reserve,0.9183114,0.920000100798808,-0.0016886592
net_actual_interchange_mw,0.86641324,0.9295984627394396,-0.063185215
da_as_total_mw_thirty_minutes_reserve,0.8644723,0.9141437178213236,-0.04967141
total_losses,0.8599595,0.9334742413917716,-0.07351476
gross_actual_interchange_mw,0.79959047,0.8759973140166133,-0.07640684
marginal_loss_price_da,0.7992171,0.8816090434068973,-0.08239192
congestion_price_rt,0.6784986,0.6702083206524372,0.008290291
congestion_price_da,0.6713736,0.6602494811248918,0.011124134
