confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9645696841180325,0.015320372767746449,True
da_as_total_mw_primary_reserve,0.9480342827737331,0.07185173779726028,True
total_gen,0.9192054197192192,0.03695812448859215,True
da_as_total_mw_synchronized_reserve,0.8795906379818916,0.10141222923994064,True
total_lmp_da,0.853018194437027,0.06383564323186874,True
total_losses,0.6230641305446625,0.33091577887535095,True
congestion_price_rt,0.48606473207473755,0.8399277329444885,True
marginal_loss_price_da,0.4723237156867981,0.2890055179595947,True
da_as_total_mw_thirty_minutes_reserve,0.27885210514068604,0.5175188779830933,True
congestion_price_da,0.27305978536605835,1.232090711593628,True
gross_actual_interchange_mw,-0.5567127466201782,0.9089015126228333,False
net_actual_interchange_mw,-1.9254083633422852,2.2747650146484375,False
