,mask_norm,single_norm,attn_norm,ig_norm,gate_norm,shapley_norm,lrp_norm
mask_norm,1.0,0.8522824170985741,0.9189455969508336,0.9372797744890768,0.678646934460888,0.9463002114164905,0.9509513742071881
single_norm,0.8522824170985741,1.0,0.8720353683298767,0.8309577037627192,0.537495754677245,0.8689467626193085,0.84606859334508
attn_norm,0.9189455969508336,0.8720353683298767,1.0,0.8824358700586314,0.6664787210283082,0.9227516302561983,0.9197913821298035
ig_norm,0.9372797744890768,0.8309577037627192,0.8824358700586314,1.0,0.6394644115574348,0.9034531360112755,0.970260747004933
gate_norm,0.678646934460888,0.537495754677245,0.6664787210283082,0.6394644115574348,1.0,0.6290345313601128,0.6666666666666666
shapley_norm,0.9463002114164905,0.8689467626193085,0.9227516302561983,0.9034531360112755,0.6290345313601128,1.0,0.9293868921775899
lrp_norm,0.9509513742071881,0.84606859334508,0.9197913821298035,0.970260747004933,0.6666666666666666,0.9293868921775899,1.0
