general_field,mask_norm,mask_rank,single_norm,single_rank,attn_norm,attn_rank,ig_norm,ig_rank,gate_norm,gate_rank,shapley_norm,shapley_rank,lrp_norm,lrp_rank,avg_rank
forecast_load_mw_latest_available,0.18387291441105397,7,0.9292894445221817,2,0.9890550308562546,2,1.0,1,1.0,1,0.585276253905578,2,0.7806970748405425,5,2.857142857142857
system_energy_price_da,1.0,1,1.0,1,1.0,1,0.3849948184820085,8,0.17986666392811657,14,1.0,1,0.7865471791589813,4,4.285714285714286
da_as_nsr_mw_primary_reserve,0.5373590979879551,2,0.5679345736972721,4,0.5542749003102075,11,0.5843397469457787,3,0.38996246365503356,4,0.5733495705361,3,0.4534111285812429,9,5.142857142857143
gen_fuel_nuclear_mw,0.28654449026449197,3,0.07270029758601886,13,0.7436892341173537,6,0.5374629668888,5,0.516697828599247,3,0.24600425649417484,8,0.7948306650657744,3,5.857142857142857
forecast_load_mw_day_ahead,0.14943614760974808,9,0.8459803169425801,3,0.9069159918446386,3,0.9338695424179584,2,0.17268053727731164,15,0.5073112442249831,4,0.7155899125059514,6,6.0
da_as_as_req_mw_synchronized_reserve,0.14906588313158917,10,0.18841036955189602,7,0.9046534663207003,4,0.4812586618431239,7,0.1559692599206709,18,0.22407399900531272,9,1.0,1,8.0
da_as_as_req_mw_primary_reserve,0.14277074021504862,11,0.1830922810183465,8,0.8760390598888984,5,0.49277440856401455,6,0.1614638038329942,16,0.21575725965708875,10,0.9531136193577254,2,8.285714285714286
gross_inadv_interchange_mw,0.2668775693287573,4,0.11692417447121281,10,0.6448736586192276,9,0.2941118594938873,9,0.22207399941135741,11,0.24841177824320787,7,0.4390832794646551,10,8.571428571428571
marginal_loss_price_rt,0.18705193413135643,6,0.10547369695039664,11,0.6816901620649016,8,0.5637012313265086,4,0.19935409911788823,13,0.1751790453016886,12,0.5103371774451332,8,8.857142857142858
gen_fuel_gas_mw,0.17866689034985644,8,0.22756520676217082,6,0.5250093086852261,13,0.19131224136003272,11,0.11502063417391527,23,0.24959540661797325,6,0.3121813298233097,11,11.142857142857142
da_as_as_req_mw_thirty_minutes_reserve,0.10613393176635515,13,0.1287349035710322,9,0.727566991017849,7,0.24593782410907578,10,0.1437161855522108,21,0.1928193431450352,11,0.5327114317577732,7,11.142857142857142
gen_fuel_coal_mw,0.10601818548932346,14,0.3184027660501839,5,0.5011421011155356,14,0.17218335936950127,13,0.15381495689733343,19,0.2558812089325884,5,0.23442434355077552,13,11.857142857142858
total_lmp_rt,0.19502155327048126,5,0.07766798069329779,12,0.5275848012768657,12,0.1539061966643409,15,0.0979061016717319,24,0.15126245876431058,13,0.1732230871449386,14,13.571428571428571
gen_fuel_nuclear_pct,0.07375318852031497,15,0.016862403558969515,18,0.5602315748758048,10,0.11275740878869146,18,0.9810242075448076,2,0.04039003778175913,18,0.15446498428614802,16,13.857142857142858
