field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.9254083633422852,-2.17359831935597,False
gross_actual_interchange_mw,0.2460934792895835,-0.5567127466201782,-0.8028062259097617,False
total_gen,0.9906449538219424,0.9513955339789391,-0.03924941984300334,True
metered_load_mw,0.9762308832723112,0.9687349759042263,-0.00749590736808492,True
total_losses,0.6540839836602339,0.608200192451477,-0.04588379120875685,True
congestion_price_da,0.0475838272605031,0.26895302534103394,0.22136919808053085,True
congestion_price_rt,0.4561738508473963,0.494676411151886,0.038502560304489675,True
marginal_loss_price_da,0.4407231017762543,0.4905015230178833,0.04977842124162901,True
total_lmp_da,0.9299314144617218,0.8784694150090218,-0.051461999452700025,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9551622271537781,-0.020065591803983485,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9343096539378166,-0.007533457107830155,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.35615891218185425,-0.10074512582264983,True
