kind,alpha,pct,rank,r2
cat3,0.1,28.583333333333332,286.6666666666667,0.017033333333333334
cat3,0.2,16.125,336.5,0.036166666666666666
cat3,0.3,60.291666666666664,159.83333333333334,0.027966666666666667
cat3,0.45,70.25,120.0,0.1947
last,0.1,35.583333333333336,258.6666666666667,0.021133333333333334
last,0.2,32.833333333333336,269.6666666666667,0.018949999999999998
last,0.3,37.625,250.5,0.015133333333333332
last,0.45,53.125,188.5,0.08555
t_test,0.1,90.91666666666667,37.333333333333336,
t_test,0.2,68.08333333333333,128.66666666666666,
t_test,0.3,81.41666666666667,75.33333333333333,
t_test,0.45,96.91666666666667,13.333333333333334,
