S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf
"(17, 30, 39, 40, 42)",strong,False,0.40674261857127336,3,0.6160670040076426,0.06658697128295898,2,0.8478964567184448,0.8502005338668823,0.06267791986465454,2,0.8635806441307068,0.04152560234069824
"(10, 23, 27, 30, 39)",strong,False,0.39307699162832965,6,0.44630482873942545,0.035894691944122314,0,0.8333307504653931,0.832374632358551,0.037635743618011475,0,0.8534083962440491,-0.24211692810058594
"(29, 30, 31, 39, 40)",strong,False,0.3752343799366038,4,0.7447287440825455,0.009778618812561035,11,0.8389109373092651,0.8326881527900696,0.010828793048858643,8,0.8619880080223083,-0.0011652112007141113
"(5, 17, 20, 39, 40)",strong,False,0.36672228798265905,6,0.8830362554146102,0.03523457050323486,9,0.9824541807174683,0.9839348196983337,0.03126400709152222,0,0.9826619625091553,-0.008253514766693115
"(9, 10, 23, 26, 40)",strong,False,0.35720462426508015,8,0.5374272537091012,0.030048489570617676,0,0.6861695647239685,0.6806818842887878,0.02138972282409668,9,0.7007849216461182,-0.11503458023071289
"(7, 8, 23, 40, 42)",strong,False,0.349370869107969,8,0.5911360679919327,0.025300920009613037,11,0.5595579743385315,0.6752759218215942,0.04143726825714111,11,0.5714716911315918,-0.11571794748306274
"(4, 23, 30, 39, 40)",strong,True,0.3420164861851319,6,0.3420164861851319,0.04913383722305298,5,0.8373990058898926,0.8635619282722473,0.0280035138130188,5,0.8557388782501221,-0.3982282876968384
"(0, 17, 23, 35, 40)",strong,False,0.3400060645060582,7,0.5453079296181871,0.019882023334503174,9,0.8427379131317139,0.8416562080383301,0.017624616622924805,9,0.840786337852478,-0.15339434146881104
"(10, 25, 29, 33, 40)",control,False,0.04760518865193597,6,0.6926603733257528,0.017966747283935547,7,0.8236424326896667,0.8218629360198975,0.023206651210784912,11,0.8329176902770996,-0.000774681568145752
"(6, 9, 24, 30, 43)",control,False,0.018712665563041186,11,0.6699092927048313,0.05636429786682129,2,0.7550886869430542,0.7524158954620361,0.04327285289764404,2,0.7866837978363037,0.02519392967224121
"(0, 18, 28, 34, 41)",control,False,0.005140907939996553,1,0.7958893660788344,0.006382167339324951,1,0.8216071128845215,0.8196195363998413,0.005070388317108154,10,0.824435830116272,0.006382167339324951
"(15, 20, 21, 23, 34)",control,False,0.010044148406129438,5,0.9824775397401396,0.027573347091674805,0,0.9780839681625366,0.9804514050483704,0.03558987379074097,0,0.9794718623161316,0.01414412260055542
"(1, 13, 20, 26, 37)",control,False,0.018061813360801815,4,0.9858798564836379,0.02410513162612915,7,0.980976939201355,0.9850172996520996,0.023552298545837402,7,0.9808472394943237,0.017308056354522705
