S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf
"(0, 7, 9, 11, 14)",strong,False,0.1424564983557245,11,0.9552765767587466,0.154280424118042,11,0.9617689847946168,0.9452544450759888,0.1649590134620666,11,0.9632117748260498,0.154280424118042
"(0, 9, 11, 14, 17)",strong,False,0.1315192376386071,11,0.9496358674715208,0.1519473195075988,11,0.9582623243331908,0.9412244558334352,0.1661591529846191,11,0.9601619839668274,0.1519473195075988
"(3, 16, 17, 25, 42)",strong,False,0.1281380257262817,7,0.6756172682434398,0.0315266847610473,8,0.6890405416488647,0.6763287782669067,0.0337024927139282,4,0.6874483227729797,0.0295819640159606
"(2, 7, 24, 36, 41)",strong,False,0.1257272705214663,7,0.4615391705431723,0.0179963111877441,9,0.5094243288040161,0.5228129625320435,0.0138391852378845,11,0.4909263849258423,-0.0663145184516906
"(4, 7, 15, 21, 43)",strong,False,0.1249547408153723,8,0.8156163045575214,0.0182312130928039,0,0.8357563018798828,0.832382321357727,0.0129671096801757,0,0.8195242881774902,0.0059536099433898
"(1, 9, 10, 17, 20)",strong,False,0.122978917442866,0,0.9898479309773308,0.1234760284423828,0,0.985925018787384,0.9860831499099731,0.1188819408416748,0,0.985645830631256,0.1234760284423828
"(0, 11, 14, 17, 18)",strong,False,0.1220723520177552,9,0.948921647109962,0.1362833976745605,11,0.953707754611969,0.9412244558334352,0.1499216556549072,11,0.9557029008865356,0.1166227459907531
"(2, 7, 24, 28, 37)",strong,False,0.1569258358325841,7,0.6571803766547416,0.0336989760398864,11,0.6860601305961609,0.6729252338409424,0.023819625377655,11,0.6943643689155579,0.0183655023574829
"(1, 4, 7, 9, 19)",strong,False,0.1370661335177383,0,0.9927988997786112,0.1146880388259887,0,0.9898792505264282,0.9896988272666932,0.1100972890853881,0,0.9903030395507812,0.1146880388259887
"(3, 11, 14, 32, 35)",strong,False,0.1305192228745922,7,0.9233108844409104,0.0377660393714904,1,0.9267934560775756,0.9226794838905334,0.0347753763198852,1,0.9282475113868712,0.0087338685989379
"(0, 1, 7, 9, 19)",strong,False,0.1259808899625372,0,0.9933429496245908,0.1251428723335266,0,0.9902509450912476,0.9915615916252136,0.120547354221344,0,0.99031662940979,0.1251428723335266
"(3, 7, 8, 22, 27)",strong,False,0.125670726861566,7,0.4769886499072927,0.0251587629318237,11,0.4712573289871216,0.4693996906280517,0.0233684182167053,11,0.3686969876289367,0.0249386429786682
"(0, 7, 11, 14, 18)",strong,False,0.1244873752023585,9,0.9532296665027798,0.141691505908966,11,0.955227553844452,0.9452544450759888,0.1512814164161682,11,0.957489013671875,0.1277545094490051
"(2, 7, 24, 32, 41)",strong,False,0.1226218522125517,7,0.6019976500123856,0.0020161271095275,10,0.6111340522766113,0.6091179251670837,0.0050639510154724,5,0.6225268244743347,-0.023252785205841
"(12, 14, 32, 33, 36)",strong,False,0.1505495326043122,7,0.8948262109720995,0.021783709526062,4,0.9007478952407836,0.8970988988876343,0.0236679315567016,4,0.899965763092041,0.007676362991333
"(7, 9, 10, 11, 14)",strong,False,0.1322350871605032,11,0.9208813986959492,0.1368055939674377,11,0.9317482113838196,0.9147256016731262,0.1524320840835571,11,0.9309593439102172,0.1368055939674377
"(1, 7, 10, 18, 19)",strong,False,0.129129951431923,0,0.9930888666507468,0.1168222427368164,0,0.9888292551040648,0.991198480129242,0.1082358360290527,0,0.988455891609192,0.1168222427368164
"(0, 5, 15, 39, 40)",strong,False,0.1259022103118593,5,0.9189084197061006,0.0392408967018127,0,0.9247724413871764,0.9307307004928588,0.0396434068679809,0,0.9259766936302184,-0.0362975001335144
"(1, 7, 9, 10, 19)",strong,False,0.1251421827864691,0,0.9930734112562902,0.1283633708953857,0,0.9905487895011902,0.991290271282196,0.1196627616882324,0,0.99020254611969,0.1283633708953857
"(3, 8, 12, 19, 25)",strong,False,0.1231617470082167,7,0.9908540537468916,0.0171798467636108,0,0.987631618976593,0.9897376894950868,0.0134506821632385,0,0.9874985218048096,-0.0002961158752441
