S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf,retained,sub_exceeds
"(5, 11, 23, 39, 40)",strong,True,0.5137189498571137,2,0.5137189498571137,0.0177828073501586,10,0.7807124853134155,0.8003649711608887,0.0244128108024597,11,0.771553099155426,0.0096142888069152,0.034615829054203136,True
"(5, 7, 20, 39, 40)",strong,False,0.4397970856307354,6,0.917676860083902,0.0361167192459106,9,0.9822203516960144,0.9827563166618348,0.0333188772201538,0,0.9823189377784728,0.0025098323822021,0.08212132464250821,True
"(5, 7, 19, 39, 40)",strong,False,0.4329524444855659,6,0.9708631905476426,0.0384060144424438,9,0.9880531430244446,0.989045798778534,0.033695638179779,0,0.9885295033454896,0.0079456567764282,0.0887072354749673,True
"(7, 15, 19, 39, 40)",strong,False,0.4232714220666407,6,0.9705295993578416,0.0436350107192993,9,0.9873554706573486,0.9879408478736876,0.0402554869651794,0,0.9875001907348632,0.0113174319267272,0.10308990506906776,True
"(12, 23, 26, 37, 40)",strong,False,0.4085814930269226,7,0.4627209879126931,0.0386922955513,2,0.6602414846420288,0.713672399520874,0.027130126953125,2,0.6719603538513184,-0.2393765449523925,0.09469908992855547,True
"(11, 30, 39, 40, 43)",strong,False,0.4044124899624037,4,0.8275116316986086,0.0390240550041198,3,0.8562309741973877,0.8509827256202698,0.036787211894989,3,0.8725874423980713,0.0330011844635009,0.09649567204946533,False
"(11, 21, 23, 39, 43)",strong,False,0.38508241799438,6,0.5468378138564618,0.0398123860359191,0,0.6665294170379639,0.6773955821990967,0.035715103149414,0,0.6760168075561523,-0.0643706917762756,0.10338666263516641,True
"(3, 7, 27, 39, 40)",strong,False,0.3742667809093457,4,0.5414628599445854,0.0408587455749511,2,0.6348085403442383,0.660222053527832,0.045373797416687,2,0.631786584854126,0.0325945615768432,0.10917010982293897,True
"(17, 23, 26, 28, 40)",strong,False,0.3576798185709049,6,0.4296162210162841,0.0330984592437744,4,0.6075113415718079,0.6312623023986816,0.0300408005714416,2,0.584830641746521,-0.1145912408828735,0.09253655790818151,True
"(7, 28, 30, 39, 40)",strong,False,0.3540384213154094,6,0.3726906376449184,0.0309763550758361,9,0.8364509344100952,0.8429602980613708,0.0294356942176818,9,0.8453772664070129,-0.0211345553398132,0.08749433171898471,True
