kind,alpha,trial,S,true_r2,syn,pct,rank,rand_p99
last,0.1,0,"(np.int64(5), np.int64(17), np.int64(33), np.int64(40))",0.0,0.0,19.75,322,0.0009
last,0.1,1,"(np.int64(6), np.int64(11), np.int64(15), np.int64(35))",0.0,0.0,13.25,348,0.0003
last,0.1,2,"(np.int64(5), np.int64(14), np.int64(21), np.int64(42))",0.0383,0.0052,99.0,5,0.0043
last,0.1,3,"(np.int64(15), np.int64(21), np.int64(34), np.int64(37))",0.0046,-0.0,69.25,124,0.0011
last,0.1,4,"(np.int64(15), np.int64(24), np.int64(39), np.int64(40))",0.0814,-0.0153,5.75,378,0.0102
last,0.1,5,"(np.int64(17), np.int64(18), np.int64(26), np.int64(38))",0.0025,-0.001,6.5,375,0.0016
last,0.2,0,"(np.int64(15), np.int64(20), np.int64(29), np.int64(33))",0.0345,-0.0006,74.5,103,0.0026
last,0.2,1,"(np.int64(8), np.int64(11), np.int64(40), np.int64(42))",0.0,0.0,15.0,341,0.0
last,0.2,2,"(np.int64(5), np.int64(7), np.int64(25), np.int64(38))",0.0,0.0,10.75,358,0.0002
last,0.2,3,"(np.int64(29), np.int64(34), np.int64(39), np.int64(43))",0.006,-0.0024,26.0,297,0.0022
last,0.2,4,"(np.int64(2), np.int64(5), np.int64(29), np.int64(31))",0.0408,-0.0031,42.0,233,0.0043
last,0.2,5,"(np.int64(5), np.int64(18), np.int64(24), np.int64(27))",0.0324,-0.0197,28.75,286,0.0168
last,0.3,0,"(np.int64(13), np.int64(18), np.int64(21), np.int64(28))",0.0,-0.0064,5.25,380,0.0016
last,0.3,1,"(np.int64(4), np.int64(9), np.int64(17), np.int64(23))",0.0,0.0,1.5,395,0.0
last,0.3,2,"(np.int64(10), np.int64(18), np.int64(22), np.int64(37))",0.0061,0.0061,100.0,1,0.0004
last,0.3,3,"(np.int64(17), np.int64(25), np.int64(37), np.int64(38))",0.0077,0.0002,95.25,20,0.0022
last,0.3,4,"(np.int64(10), np.int64(29), np.int64(30), np.int64(41))",0.0,0.0,0.0,401,0.0
last,0.3,5,"(np.int64(3), np.int64(20), np.int64(30), np.int64(38))",0.077,-0.0095,23.75,306,0.0009
last,0.45,0,"(np.int64(16), np.int64(19), np.int64(39), np.int64(41))",0.0607,-0.0477,0.5,399,0.0132
last,0.45,1,"(np.int64(12), np.int64(19), np.int64(20), np.int64(27))",0.132,-0.0668,15.75,338,0.0554
last,0.45,2,"(np.int64(14), np.int64(16), np.int64(35), np.int64(43))",0.141,0.025,100.0,1,0.0066
last,0.45,3,"(np.int64(6), np.int64(12), np.int64(27), np.int64(43))",0.0,-0.004,2.75,390,0.0003
last,0.45,4,"(np.int64(4), np.int64(19), np.int64(21), np.int64(37))",0.0748,0.0269,99.75,2,0.0184
last,0.45,5,"(np.int64(9), np.int64(20), np.int64(26), np.int64(42))",0.1048,0.0783,100.0,1,0.0042
cat3,0.1,0,"(np.int64(5), np.int64(17), np.int64(33), np.int64(40))",0.002,0.002,98.75,6,0.0028
cat3,0.1,1,"(np.int64(6), np.int64(11), np.int64(15), np.int64(35))",0.0,0.0,8.5,367,0.0
cat3,0.1,2,"(np.int64(5), np.int64(14), np.int64(21), np.int64(42))",0.0172,-0.0111,31.0,277,0.0094
cat3,0.1,3,"(np.int64(15), np.int64(21), np.int64(34), np.int64(37))",0.0,0.0,24.75,302,0.0021
cat3,0.1,4,"(np.int64(15), np.int64(24), np.int64(39), np.int64(40))",0.083,-0.045,8.25,368,0.0188
cat3,0.1,5,"(np.int64(17), np.int64(18), np.int64(26), np.int64(38))",0.0,-0.0084,0.25,400,0.0
cat3,0.2,0,"(np.int64(15), np.int64(20), np.int64(29), np.int64(33))",0.0253,-0.014,16.25,336,0.0097
cat3,0.2,1,"(np.int64(8), np.int64(11), np.int64(40), np.int64(42))",0.0,-0.0824,2.75,390,0.0282
cat3,0.2,2,"(np.int64(5), np.int64(7), np.int64(25), np.int64(38))",0.0,0.0,5.0,381,0.0
cat3,0.2,3,"(np.int64(29), np.int64(34), np.int64(39), np.int64(43))",0.0,0.0,33.25,268,0.0096
cat3,0.2,4,"(np.int64(2), np.int64(5), np.int64(29), np.int64(31))",0.0234,-0.0181,18.75,326,0.0098
cat3,0.2,5,"(np.int64(5), np.int64(18), np.int64(24), np.int64(27))",0.1683,-0.0565,20.75,318,0.053
cat3,0.3,0,"(np.int64(13), np.int64(18), np.int64(21), np.int64(28))",0.0396,0.0396,100.0,1,0.0071
cat3,0.3,1,"(np.int64(4), np.int64(9), np.int64(17), np.int64(23))",0.0,0.0,1.75,394,0.0
cat3,0.3,2,"(np.int64(10), np.int64(18), np.int64(22), np.int64(37))",0.0188,0.0188,100.0,1,0.0
cat3,0.3,3,"(np.int64(17), np.int64(25), np.int64(37), np.int64(38))",0.013,0.0025,96.25,16,0.0061
cat3,0.3,4,"(np.int64(10), np.int64(29), np.int64(30), np.int64(41))",0.0,0.0,0.0,401,0.0
cat3,0.3,5,"(np.int64(3), np.int64(20), np.int64(30), np.int64(38))",0.0964,-0.0089,63.75,146,0.0146
cat3,0.45,0,"(np.int64(16), np.int64(19), np.int64(39), np.int64(41))",0.3791,0.0065,96.0,17,0.124
cat3,0.45,1,"(np.int64(12), np.int64(19), np.int64(20), np.int64(27))",0.519,-0.0035,75.25,100,0.0788
cat3,0.45,2,"(np.int64(14), np.int64(16), np.int64(35), np.int64(43))",0.1394,0.0108,98.75,6,0.0111
cat3,0.45,3,"(np.int64(6), np.int64(12), np.int64(27), np.int64(43))",0.0,0.0,11.5,355,0.0005
cat3,0.45,4,"(np.int64(4), np.int64(19), np.int64(21), np.int64(37))",0.0,-0.0192,40.0,241,0.0513
cat3,0.45,5,"(np.int64(9), np.int64(20), np.int64(26), np.int64(42))",0.1307,0.0908,100.0,1,0.0117
t_test,0.1,0,"(np.int64(5), np.int64(17), np.int64(33), np.int64(40))",,1.256,73.5,107,
t_test,0.1,1,"(np.int64(6), np.int64(11), np.int64(15), np.int64(35))",,5.26,100.0,1,
t_test,0.1,2,"(np.int64(5), np.int64(14), np.int64(21), np.int64(42))",,1.973,86.25,56,
t_test,0.1,3,"(np.int64(15), np.int64(21), np.int64(34), np.int64(37))",,3.18,100.0,1,
t_test,0.1,4,"(np.int64(15), np.int64(24), np.int64(39), np.int64(40))",,1.78,85.75,58,
t_test,0.1,5,"(np.int64(17), np.int64(18), np.int64(26), np.int64(38))",,3.961,100.0,1,
t_test,0.2,0,"(np.int64(15), np.int64(20), np.int64(29), np.int64(33))",,0.458,25.25,300,
t_test,0.2,1,"(np.int64(8), np.int64(11), np.int64(40), np.int64(42))",,6.337,100.0,1,
t_test,0.2,2,"(np.int64(5), np.int64(7), np.int64(25), np.int64(38))",,7.374,100.0,1,
t_test,0.2,3,"(np.int64(29), np.int64(34), np.int64(39), np.int64(43))",,1.51,50.5,199,
t_test,0.2,4,"(np.int64(2), np.int64(5), np.int64(29), np.int64(31))",,0.852,45.0,221,
