S,group,artifact,syn_true,syn_struct_90,syn_oracle,syn_poly2,syn_full,syn_last,syn_cat3
"(5, 11, 23, 39, 40)",strong,True,0.0177828073501586,0.5137189498571137,0.007678092605667319,-0.0009828213204360337,0.5137189499558794,0.01188919359440721,0.0046261175282528155
"(5, 7, 20, 39, 40)",strong,False,0.0361167192459106,0.4397970856307354,0.008889813820072812,0.03606606917435928,0.43979708563376674,0.0017467347521737953,0.02448440038705635
"(5, 7, 19, 39, 40)",strong,False,0.0384060144424438,0.4329524444855659,0.005714289242751747,0.028024144914150062,0.4329524444855083,0.04127938619735283,0.0473174562632378
"(7, 15, 19, 39, 40)",strong,False,0.0436350107192993,0.4232714220666407,0.015561152908263987,0.022043562192364474,0.4232714220672933,0.029235134949262775,0.028537413249456467
"(12, 23, 26, 37, 40)",strong,False,0.0386922955513,0.4085814930269226,0.012930293716131747,-0.00023710724850911635,0.40858149302691404,0.015771947190754587,0.02479304834668805
"(11, 30, 39, 40, 43)",strong,False,0.0390240550041198,0.4044124899624037,0.009657787255214267,0.007487863044132181,0.404412489962781,0.017097124476704417,0.043521889611542575
"(11, 21, 23, 39, 43)",strong,False,0.0398123860359191,0.38508241799438,0.019704508000973342,0.013038156071968565,0.38508241799438436,0.059223882816571205,0.0016566517234979372
"(3, 7, 27, 39, 40)",strong,False,0.0408587455749511,0.3742667809093457,0.0018140632699997772,0.011974830264652514,0.3742667809121015,0.03067026419508556,0.05980094272118741
"(17, 23, 26, 28, 40)",strong,False,0.0330984592437744,0.3576798185709049,0.015260678869004063,-0.007023012890761571,0.3576798185709056,0.016502340894570366,-0.011643735413872425
"(7, 28, 30, 39, 40)",strong,False,0.0309763550758361,0.3540384213154094,0.002992475804108219,0.012417175723000828,0.35403842131536545,0.020883620230262356,0.029180364581633755
"(11, 15, 23, 39, 40)",strong,True,0.0240867733955383,0.4419602945317757,0.0052404163104251555,-0.023021541545755198,0.4419602945681115,0.011459200266521918,0.01342977829963976
"(10, 11, 23, 26, 40)",strong,False,0.0212992429733276,0.4251270781094892,0.016830448117283958,-0.008459006351163367,0.4251270781094878,0.024764494404372006,0.019677169865569444
"(17, 25, 29, 39, 40)",strong,False,0.0219041109085083,0.4069665924937787,0.0024855522182695156,0.018282750362769384,0.4069665924847812,0.013987968682443563,0.03961078448714983
"(4, 7, 29, 39, 40)",strong,False,0.0256653428077697,0.395530348699515,0.018706789640469235,0.05769975155282969,0.3955303487062892,0.04181937177672934,0.02395237092905489
"(5, 17, 19, 39, 40)",strong,False,0.036750316619873,0.3761908521931544,0.006896487404405738,0.05714807369236263,0.3761908521911185,0.014000469317514419,0.029824384329723008
"(10, 23, 27, 29, 39)",strong,False,0.0294445753097534,0.3716723065319443,0.006471456332391434,0.020601840623450052,0.3716723065319495,0.043993571420721356,0.08084075741966834
"(17, 30, 39, 40, 42)",strong,False,0.0665869712829589,0.4067426185712733,0.0047970887135089235,0.02589524581713487,0.40674261858377103,0.0098987780240547,0.04110187372955443
"(10, 23, 27, 30, 39)",strong,False,0.0358946919441223,0.3930769916283296,0.009720476893838481,-0.048829755933852526,0.39307699162828846,0.024012055527491194,0.026140625839656262
"(29, 30, 31, 39, 40)",strong,False,0.009778618812561,0.3752343799366038,-0.0010876822893622906,0.013535033450272738,0.3752343800770772,0.02847082166265169,0.01871070446801404
"(5, 17, 20, 39, 40)",strong,False,0.0352345705032348,0.366722287982659,0.0052428722124798766,0.062234872481967574,0.36672228798898987,0.01161951754232049,0.016242733998104386
"(9, 10, 23, 26, 40)",strong,False,0.0300484895706176,0.3572046242650801,0.011292462677668591,-0.005942228840509212,0.35720462426509436,0.012089126711311127,0.017221633957653637
"(7, 8, 23, 40, 42)",strong,False,0.025300920009613,0.349370869107969,0.006732792985482128,-0.05887573596516593,0.3493708691079508,0.021265723297572148,0.02166646782706616
"(7, 29, 37, 39, 40)",strong,False,0.0566247701644897,0.4379643716974878,0.0029826536968334816,0.007268656374039839,0.4379643716974859,0.011860893833226527,0.02804804882714418
"(23, 25, 26, 40, 41)",strong,False,0.0170204639434814,0.409972661232497,0.009857162220790916,-0.01282940867907012,0.4099726612325406,0.008822899008196772,0.005513649939266507
"(7, 15, 20, 39, 40)",strong,False,0.0500925779342651,0.4067154231168365,0.012226532317837102,0.030168192753132983,0.406715423119123,0.010667928392951942,0.025168782139381674
"(17, 29, 39, 40, 42)",strong,True,0.0533228516578674,0.3915181191903337,0.004150665642735252,0.030560494564612295,0.3915181191907269,0.022653411617290953,0.03754307637385934
"(29, 30, 32, 39, 40)",strong,False,0.0106628537178039,0.3752192688287662,0.00011032817231870773,0.013535509822187541,0.37521926910311776,0.06683000024590169,0.019240256222905705
"(29, 30, 33, 39, 40)",strong,False,0.0141604542732238,0.3612092341569243,-0.0002608326201362088,0.008796307571304562,0.3612092347441218,0.015671611095597893,0.014833736038547207
