组,n,结构化syn,认证syn,认证syn最大,保留率,过0_2的,过0_1的,子集反超
control,20,0.0196,0.0252,0.0564,1.364,0,0,11
strong,36,0.3777,0.0307,0.0666,0.083,0,0,23
strong(伪影),4,0.4223,0.0361,0.0533,0.095,0,0,3
