confidential_field,test_r2
da_as_total_mw_primary_reserve,0.9751069191843271
metered_load_mw,0.9566894620656967
total_gen,0.9154055118560791
da_as_total_mw_synchronized_reserve,0.9082280918955803
total_lmp_da,0.8842832744121552
congestion_price_rt,0.47654861211776733
total_losses,0.4482267498970032
marginal_loss_price_da,0.4198299050331116
da_as_total_mw_thirty_minutes_reserve,0.3870720863342285
congestion_price_da,0.19901782274246216
gross_actual_interchange_mw,0.004897058010101318
net_actual_interchange_mw,-0.9609616994857788
