target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.20099643,0.19998051,0.1989638,0.1988226,0.20123665
gross_actual_interchange_mw,0.19784486,0.19790408,0.20177321,0.20371045,0.19876744
total_gen,0.22213028,0.20650686,0.21530306,0.14729875,0.208761
metered_load_mw,0.20103219,0.18480295,0.20933068,0.22089957,0.18393463
total_losses,0.1864455,0.19773741,0.19943827,0.21024057,0.20613818
congestion_price_da,0.22419953,0.17164117,0.17398126,0.15707354,0.27310446
congestion_price_rt,0.18710238,0.20148893,0.1807333,0.20357066,0.22710477
marginal_loss_price_da,0.25823316,0.17641222,0.18035974,0.17523988,0.20975506
total_lmp_da,0.39426595,0.12731509,0.14654145,0.16658038,0.16529725
da_as_total_mw_primary_reserve,0.22312105,0.17302485,0.16624285,0.23095335,0.20665796
da_as_total_mw_synchronized_reserve,0.16824508,0.15957376,0.16223407,0.34136727,0.16857974
da_as_total_mw_thirty_minutes_reserve,0.2024649,0.19728507,0.1973419,0.20114261,0.20176558
