,AP_关键,AP_关键,AP_隐藏,AP_隐藏,R精确率,R精确率
τ,0.5,0.7,0.5,0.7,0.5,0.7
方法,,,,,,
pearson,0.9076143213847385,0.8551701564279283,0.9076143213847385,0.8332186638599776,0.9772727272727273,0.8147438909774436
spearman,0.9044348227877117,0.8300012613884719,0.9044348227877117,0.8169732721699344,0.9772727272727273,0.766827224310777
mi,0.9108182152226036,0.9062415600903247,0.9108182152226036,0.89607748487464,0.9772727272727273,0.8657424812030075
dcor,0.9284749914436705,0.8534390808897678,0.9284749914436705,0.8325199250925133,0.9818181818181818,0.8334938909774436
M0,0.9171238743431256,0.8786761240157785,0.9171238743431256,0.8563707987879826,0.9818181818181818,0.8034343671679198
loco,0.8618472818719853,0.7549980993984631,0.8618472818719853,0.703016053029642,0.9772727272727273,0.7268092105263158
perm,0.8253303548629112,0.8469160497822877,0.8253303548629112,0.7851849011005791,0.9681818181818181,0.7950383771929824
sage,0.8849093849955916,0.8514745913799031,0.8849093849955916,0.8233201033465677,0.9681818181818181,0.7691024436090226
graph,0.9202824635318914,0.8497963215028198,0.9202824635318914,0.8423746486869632,0.9818181818181818,0.8296992481203007
M2_est,0.8823624108663704,0.9081919692556782,0.8823624108663704,0.9004084563975363,0.9818181818181818,0.9026472431077694
M2_cert,0.8896371706010844,0.9090425874279208,0.8896371706010844,0.9012031716640403,0.9818181818181818,0.887766290726817
M2,0.8889545578376203,0.9106793620178767,0.8889545578376203,0.9030753553210431,0.9772727272727273,0.894016290726817
