order,trial,S,seed,r2_inject,v_set,v_maxsub,syn_true,recovered,impurity,pure,mono_violation,corr_max,kurtosis,single_field_r2
6,0,"(np.int64(6), np.int64(11), np.int64(20), np.int64(30), np.int64(34), np.int64(37))",0,0.05,0.0,0.0,0.0,0.0,0.0,True,False,0.411,10.1,0.0168
6,0,"(np.int64(6), np.int64(11), np.int64(20), np.int64(30), np.int64(34), np.int64(37))",0,0.1,0.030532284100977303,0.031241399124403046,-0.0007091150234257437,-0.007091150234257437,0.312,False,True,0.411,10.1,0.0168
6,0,"(np.int64(6), np.int64(11), np.int64(20), np.int64(30), np.int64(34), np.int64(37))",0,0.2,0.03963115146005214,0.047772196274411316,-0.008141044814359177,-0.04070522407179589,0.239,True,True,0.411,10.1,0.0168
6,0,"(np.int64(6), np.int64(11), np.int64(20), np.int64(30), np.int64(34), np.int64(37))",0,0.35,0.09381234067090616,0.09495326416790484,-0.0011409234969986803,-0.00325978141999623,0.271,True,True,0.411,10.1,0.0168
6,2,"(np.int64(2), np.int64(6), np.int64(13), np.int64(26), np.int64(33), np.int64(35))",0,0.05,0.0,0.0,0.0,0.0,0.0,True,False,0.298,6.6,0.0386
6,2,"(np.int64(2), np.int64(6), np.int64(13), np.int64(26), np.int64(33), np.int64(35))",0,0.1,0.0,0.006860782091630768,-0.006860782091630768,-0.06860782091630768,0.069,True,True,0.298,6.6,0.0386
6,2,"(np.int64(2), np.int64(6), np.int64(13), np.int64(26), np.int64(33), np.int64(35))",0,0.2,0.0330603487261345,0.03208868861404468,0.0009716601120898227,0.004858300560449114,0.16,True,False,0.298,6.6,0.0386
6,2,"(np.int64(2), np.int64(6), np.int64(13), np.int64(26), np.int64(33), np.int64(35))",0,0.35,0.06681816658064488,0.05886465144571684,0.007953515134928035,0.022724328956937247,0.168,True,False,0.298,6.6,0.0386
7,1,"(np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(24), np.int64(34), np.int64(43))",0,0.05,0.0,0.0017252003303214192,-0.0017252003303214192,-0.03450400660642838,0.035,True,True,0.45,17.1,0.0151
7,1,"(np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(24), np.int64(34), np.int64(43))",0,0.1,0.000397917174672191,0.01125519516418283,-0.010857277989510639,-0.10857277989510639,0.113,True,True,0.45,17.1,0.0151
7,1,"(np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(24), np.int64(34), np.int64(43))",0,0.2,0.019765406133946617,0.03220815723401149,-0.012442751100064875,-0.062213755500324375,0.161,True,True,0.45,17.1,0.0151
7,1,"(np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(24), np.int64(34), np.int64(43))",0,0.35,0.07085843305639905,0.07596088315003724,-0.005102450093638189,-0.014578428838966255,0.217,True,True,0.45,17.1,0.0151
