order,trial,S,r2_inject,syn_inject,rand_median,rand_p99,percentile,rank,n_rand
5,2,"(np.int64(12), np.int64(17), np.int64(20), np.int64(25), np.int64(32))",0.05,0.0028354330844375664,0.0,0.0013198331927069794,99.75,2,400
5,2,"(np.int64(12), np.int64(17), np.int64(20), np.int64(25), np.int64(32))",0.1,0.00024803547355922717,-0.002515418757616017,0.0034235507690983883,94.0,25,400
5,2,"(np.int64(12), np.int64(17), np.int64(20), np.int64(25), np.int64(32))",0.2,0.025350066747424904,-0.0029666488348755737,0.005709865524317274,100.0,1,400
5,2,"(np.int64(12), np.int64(17), np.int64(20), np.int64(25), np.int64(32))",0.35,0.04464268410357208,-0.0035767877683240967,0.016934072219134157,100.0,1,400
7,0,"(np.int64(6), np.int64(8), np.int64(16), np.int64(30), np.int64(34), np.int64(37), np.int64(41))",0.05,0.0,0.0,0.0,0.0,401,400
7,0,"(np.int64(6), np.int64(8), np.int64(16), np.int64(30), np.int64(34), np.int64(37), np.int64(41))",0.1,0.0,0.0,0.0,7.5,371,400
7,0,"(np.int64(6), np.int64(8), np.int64(16), np.int64(30), np.int64(34), np.int64(37), np.int64(41))",0.2,0.0,0.0,0.0,8.0,369,400
7,0,"(np.int64(6), np.int64(8), np.int64(16), np.int64(30), np.int64(34), np.int64(37), np.int64(41))",0.35,0.0,0.0,0.0,38.5,247,400
8,1,"(np.int64(6), np.int64(10), np.int64(13), np.int64(26), np.int64(32), np.int64(34), np.int64(39), np.int64(41))",0.05,0.0,0.0,0.0,7.75,370,400
8,1,"(np.int64(6), np.int64(10), np.int64(13), np.int64(26), np.int64(32), np.int64(34), np.int64(39), np.int64(41))",0.1,0.0,0.0,0.0,21.0,317,400
8,1,"(np.int64(6), np.int64(10), np.int64(13), np.int64(26), np.int64(32), np.int64(34), np.int64(39), np.int64(41))",0.2,0.0,-0.0008195816594859795,5.795267704828136e-08,84.0,65,400
8,1,"(np.int64(6), np.int64(10), np.int64(13), np.int64(26), np.int64(32), np.int64(34), np.int64(39), np.int64(41))",0.35,0.0,0.0,0.0,5.5,379,400
