order,trial,S,seed,r2_inject,v_set,v_maxsub,syn_true,recovered,impurity,pure,mono_violation,corr_max,kurtosis,single_field_r2
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",0,0.05,0.05031367446092094,0.030959686861525282,0.01935398759939566,0.3870797519879132,0.619,False,False,0.248,14.7,0.0167
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",0,0.1,0.07968655962774163,0.044363906857743274,0.03532265276999835,0.35322652769998353,0.444,False,False,0.248,14.7,0.0167
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",0,0.2,0.1578825350550207,0.10747260830554883,0.05040992674947187,0.25204963374735934,0.537,False,False,0.248,14.7,0.0167
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",0,0.35,0.3328066603300516,0.19916389226739573,0.13364276806265585,0.3818364801790167,0.569,False,False,0.248,14.7,0.0167
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",1,0.05,0.04991639038929152,0.03464076373763303,0.015275626651658492,0.30551253303316983,0.693,False,False,0.248,14.7,0.0167
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",1,0.1,0.07424722456244182,0.031246400580659417,0.0430008239817824,0.430008239817824,0.312,False,False,0.248,14.7,0.0167
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",1,0.2,0.14886758877765904,0.09467355903625607,0.05419402974140297,0.27097014870701486,0.473,False,False,0.248,14.7,0.0167
5,0,"(np.int64(16), np.int64(24), np.int64(25), np.int64(30), np.int64(41))",1,0.35,0.33846449106898513,0.18363834241098675,0.15482614865799837,0.44236042473713827,0.525,False,False,0.248,14.7,0.0167
6,1,"(np.int64(11), np.int64(16), np.int64(30), np.int64(33), np.int64(37), np.int64(42))",0,0.05,0.0006588579696978902,0.01240757905232126,-0.01174872108262337,-0.2349744216524674,0.248,True,True,0.355,9.7,0.0174
6,1,"(np.int64(11), np.int64(16), np.int64(30), np.int64(33), np.int64(37), np.int64(42))",0,0.1,0.027926097609530576,0.024522689488653104,0.0034034081208774714,0.034034081208774714,0.245,True,False,0.355,9.7,0.0174
6,1,"(np.int64(11), np.int64(16), np.int64(30), np.int64(33), np.int64(37), np.int64(42))",0,0.2,0.12834585134190712,0.06768380957628084,0.060662041765626284,0.3033102088281314,0.338,False,False,0.355,9.7,0.0174
6,1,"(np.int64(11), np.int64(16), np.int64(30), np.int64(33), np.int64(37), np.int64(42))",0,0.35,0.22490144538586732,0.13372532490055222,0.09117612048531509,0.2605032013866146,0.382,False,False,0.355,9.7,0.0174
6,1,"(np.int64(11), np.int64(16), np.int64(30), np.int64(33), np.int64(37), np.int64(42))",1,0.05,0.0,0.012816440635385562,-0.012816440635385562,-0.25632881270771124,0.256,True,True,0.355,9.7,0.0174
6,1,"(np.int64(11), np.int64(16), np.int64(30), np.int64(33), np.int64(37), np.int64(42))",1,0.1,0.022094649328492477,0.02632620776903949,-0.004231558440547012,-0.04231558440547012,0.263,True,True,0.355,9.7,0.0174
6,1,"(np.int64(11), np.int64(16), np.int64(30), np.int64(33), np.int64(37), np.int64(42))",1,0.2,0.14048142979255862,0.08172479968280078,0.058756630109757846,0.29378315054878923,0.409,False,False,0.355,9.7,0.0174
6,1,"(np.int64(11), np.int64(16), np.int64(30), np.int64(33), np.int64(37), np.int64(42))",1,0.35,0.24219646894135893,0.12612265192162364,0.11607381701973529,0.3316394771992437,0.36,False,False,0.355,9.7,0.0174
7,2,"(np.int64(3), np.int64(11), np.int64(16), np.int64(22), np.int64(33), np.int64(37), np.int64(42))",0,0.05,0.0,0.015036564386923135,-0.015036564386923135,-0.3007312877384627,0.301,False,True,0.41,13.5,0.0146
7,2,"(np.int64(3), np.int64(11), np.int64(16), np.int64(22), np.int64(33), np.int64(37), np.int64(42))",0,0.1,0.04454240680702659,0.035783408137697204,0.008758998669329388,0.08758998669329388,0.358,False,False,0.41,13.5,0.0146
7,2,"(np.int64(3), np.int64(11), np.int64(16), np.int64(22), np.int64(33), np.int64(37), np.int64(42))",0,0.2,0.041661946089015967,0.058662728760317084,-0.017000782671301118,-0.08500391335650559,0.293,True,True,0.41,13.5,0.0146
7,2,"(np.int64(3), np.int64(11), np.int64(16), np.int64(22), np.int64(33), np.int64(37), np.int64(42))",0,0.35,0.1571920040310293,0.13783128230189634,0.019360721729132946,0.05531634779752271,0.394,False,False,0.41,13.5,0.0146
7,2,"(np.int64(3), np.int64(11), np.int64(16), np.int64(22), np.int64(33), np.int64(37), np.int64(42))",1,0.05,0.0,0.013442310101090316,-0.013442310101090316,-0.2688462020218063,0.269,True,True,0.41,13.5,0.0146
7,2,"(np.int64(3), np.int64(11), np.int64(16), np.int64(22), np.int64(33), np.int64(37), np.int64(42))",1,0.1,0.024108509148290658,0.028915111840576713,-0.004806602692286055,-0.04806602692286055,0.289,True,True,0.41,13.5,0.0146
7,2,"(np.int64(3), np.int64(11), np.int64(16), np.int64(22), np.int64(33), np.int64(37), np.int64(42))",1,0.2,0.04205051136004678,0.05326084347832172,-0.011210332118274935,-0.056051660591374675,0.266,True,True,0.41,13.5,0.0146
7,2,"(np.int64(3), np.int64(11), np.int64(16), np.int64(22), np.int64(33), np.int64(37), np.int64(42))",1,0.35,0.16514811822323994,0.13046099289052704,0.0346871253327129,0.09910607237917972,0.373,False,False,0.41,13.5,0.0146
