order,trial,S,seed,r2_inject,v_set,v_maxsub,syn_true,recovered,impurity,pure,mono_violation,corr_max,kurtosis,single_field_r2
6,0,"(np.int64(6), np.int64(11), np.int64(20), np.int64(30), np.int64(34), np.int64(37))",0,0.05,0.0024868341702234398,0.0005241932640730473,0.0019626409061503924,0.03925281812300785,0.01,True,False,0.411,10.1,0.0168
6,0,"(np.int64(6), np.int64(11), np.int64(20), np.int64(30), np.int64(34), np.int64(37))",0,0.1,0.08852323389052708,0.0724544103849013,0.016068823505625773,0.16068823505625773,0.725,False,False,0.411,10.1,0.0168
6,0,"(np.int64(6), np.int64(11), np.int64(20), np.int64(30), np.int64(34), np.int64(37))",0,0.2,0.12450680774004674,0.09050560165186183,0.03400120608818491,0.17000603044092455,0.453,False,False,0.411,10.1,0.0168
6,0,"(np.int64(6), np.int64(11), np.int64(20), np.int64(30), np.int64(34), np.int64(37))",0,0.35,0.20847409636320235,0.14744237260797355,0.061031723755228806,0.17437635358636802,0.421,False,False,0.411,10.1,0.0168
6,2,"(np.int64(2), np.int64(6), np.int64(13), np.int64(26), np.int64(33), np.int64(35))",0,0.05,0.009571858347726225,0.013583780800342726,-0.004011922452616501,-0.08023844905233002,0.272,True,True,0.298,6.6,0.0386
6,2,"(np.int64(2), np.int64(6), np.int64(13), np.int64(26), np.int64(33), np.int64(35))",0,0.1,0.06309708918726076,0.03479920031526984,0.028297888871990917,0.28297888871990917,0.348,False,False,0.298,6.6,0.0386
6,2,"(np.int64(2), np.int64(6), np.int64(13), np.int64(26), np.int64(33), np.int64(35))",0,0.2,0.1262859497336073,0.07461962119766519,0.05166632853594211,0.25833164267971054,0.373,False,False,0.298,6.6,0.0386
6,2,"(np.int64(2), np.int64(6), np.int64(13), np.int64(26), np.int64(33), np.int64(35))",0,0.35,0.22010796734998672,0.11873351089711748,0.10137445645286924,0.289641304151055,0.339,False,False,0.298,6.6,0.0386
7,1,"(np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(24), np.int64(34), np.int64(43))",0,0.05,0.02180949170087998,0.011183575180763516,0.010625916520116463,0.21251833040232926,0.224,True,False,0.45,17.1,0.0151
7,1,"(np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(24), np.int64(34), np.int64(43))",0,0.1,0.038274462131221654,0.04643438567248104,-0.008159923541259384,-0.08159923541259384,0.464,False,True,0.45,17.1,0.0151
7,1,"(np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(24), np.int64(34), np.int64(43))",0,0.2,0.15351586856191646,0.1282987395421885,0.025217129019727946,0.12608564509863973,0.641,False,False,0.45,17.1,0.0151
7,1,"(np.int64(6), np.int64(8), np.int64(15), np.int64(16), np.int64(24), np.int64(34), np.int64(43))",0,0.35,0.22913467140321608,0.2037502444856656,0.025384426917550496,0.07252693405014428,0.582,False,False,0.45,17.1,0.0151
