confidential_field,test_r2
total_gen,0.8624022901058197
metered_load_mw,0.8535254448652267
da_as_total_mw_primary_reserve,0.7933754175901413
total_lmp_da,0.6580495536327362
da_as_total_mw_synchronized_reserve,0.5753907859325409
marginal_loss_price_da,0.36942803859710693
congestion_price_rt,0.28745245933532715
total_losses,0.2675347328186035
congestion_price_da,0.13561904430389404
gross_actual_interchange_mw,0.05645585060119629
da_as_total_mw_thirty_minutes_reserve,-0.008575677871704102
net_actual_interchange_mw,-0.7338943481445312
