target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,7,1.908855676651001,0.9809577680540382
gross_actual_interchange_mw,10,2.238757371902466,0.9722799729374669
total_gen,23,3.0981621742248535,0.9880937296855343
metered_load_mw,21,3.009667158126831,0.9885514788248184
total_losses,14,2.6146864891052246,0.9907653235734797
congestion_price_da,4,1.3714687824249268,0.9893056055692333
congestion_price_rt,9,2.1832544803619385,0.9936419348671143
marginal_loss_price_da,16,2.751739263534546,0.9924801473301845
total_lmp_da,25,3.1945366859436035,0.9924386213545241
da_as_total_mw_primary_reserve,8,2.006067991256714,0.9647147808907153
da_as_total_mw_synchronized_reserve,7,1.885786533355713,0.9691025735546994
da_as_total_mw_thirty_minutes_reserve,15,2.6908838748931885,0.9936610014828992
